group,task,method,seed,source_path,normalized_path,original_size,fitted_size,offset,backbone,normalization_policy
e2_native_flux_result,pillow_vertical_fabric_strip,fireflow,11,outputs/baselines/fireflow/pillow_vertical_fabric_strip/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/pillow_vertical_fabric_strip/seed_11.png,336x512,336x512,"88,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,pillow_vertical_fabric_strip,fireflow,12,outputs/baselines/fireflow/pillow_vertical_fabric_strip/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/pillow_vertical_fabric_strip/seed_12.png,336x512,336x512,"88,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,fireflow,10,outputs/baselines/fireflow/backpack_remove_toy_charm/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/backpack_remove_toy_charm/seed_10.png,384x512,384x512,"64,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,fireflow,11,outputs/baselines/fireflow/backpack_remove_toy_charm/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/backpack_remove_toy_charm/seed_11.png,384x512,384x512,"64,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,backpack_remove_toy_charm,fireflow,12,outputs/baselines/fireflow/backpack_remove_toy_charm/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/fireflow/backpack_remove_toy_charm/seed_12.png,384x512,384x512,"64,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,rf_solver_edit,10,outputs/baselines/rf_solver_edit/cat_crown/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/cat_crown/seed_10.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,rf_solver_edit,11,outputs/baselines/rf_solver_edit/cat_crown/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/cat_crown/seed_11.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,cat_crown,rf_solver_edit,12,outputs/baselines/rf_solver_edit/cat_crown/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/cat_crown/seed_12.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,bowl_apple_inside,rf_solver_edit,10,outputs/baselines/rf_solver_edit/bowl_apple_inside/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/bowl_apple_inside/seed_10.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,bowl_apple_inside,rf_solver_edit,11,outputs/baselines/rf_solver_edit/bowl_apple_inside/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/bowl_apple_inside/seed_11.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,bowl_apple_inside,rf_solver_edit,12,outputs/baselines/rf_solver_edit/bowl_apple_inside/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/bowl_apple_inside/seed_12.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,tshirt_star,rf_solver_edit,10,outputs/baselines/rf_solver_edit/tshirt_star/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/tshirt_star/seed_10.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,tshirt_star,rf_solver_edit,11,outputs/baselines/rf_solver_edit/tshirt_star/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/tshirt_star/seed_11.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,tshirt_star,rf_solver_edit,12,outputs/baselines/rf_solver_edit/tshirt_star/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/tshirt_star/seed_12.png,512x336,512x336,"0,88",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,red_chair_blue,rf_solver_edit,10,outputs/baselines/rf_solver_edit/red_chair_blue/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/red_chair_blue/seed_10.png,368x512,368x512,"72,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,red_chair_blue,rf_solver_edit,11,outputs/baselines/rf_solver_edit/red_chair_blue/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/red_chair_blue/seed_11.png,368x512,368x512,"72,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,red_chair_blue,rf_solver_edit,12,outputs/baselines/rf_solver_edit/red_chair_blue/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/red_chair_blue/seed_12.png,368x512,368x512,"72,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,pillow_vertical_fabric_strip,rf_solver_edit,10,outputs/baselines/rf_solver_edit/pillow_vertical_fabric_strip/seed_10/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/pillow_vertical_fabric_strip/seed_10.png,336x512,336x512,"88,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,pillow_vertical_fabric_strip,rf_solver_edit,11,outputs/baselines/rf_solver_edit/pillow_vertical_fabric_strip/seed_11/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/pillow_vertical_fabric_strip/seed_11.png,336x512,336x512,"88,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
e2_native_flux_result,pillow_vertical_fabric_strip,rf_solver_edit,12,outputs/baselines/rf_solver_edit/pillow_vertical_fabric_strip/seed_12/result.png,experiments/support_v3_2026-06-02/normalized_512/e2_native_flux/rf_solver_edit/pillow_vertical_fabric_strip/seed_12.png,336x512,336x512,"88,0",FLUX.1-dev,fit original result to 512x512 canvas; preserve aspect ratio; black letterbox; original output retained
