method,n,backbone,e2_layer,support_condition,claim_boundary,outside_mask_l1_mean,inside_mask_l1_mean,source_ssim_luma_mean,outside_mask_l1_excess_preserve_error_mean
direct_target_raw,6,SD3,E2.4 support-matched diagnostic,,diagnostic only; post-hoc blending rows are not main fair baselines,0.0794,0.0984,0.7146,0.0246
direct_target_mask_blend,6,SD3,E2.4 support-matched diagnostic,,diagnostic only; post-hoc blending rows are not main fair baselines,0.0001,0.0924,0.9694,-0.0547
flowedit_mask_blend,6,SD3,E2.4 support-matched diagnostic,,diagnostic only; post-hoc blending rows are not main fair baselines,0.0002,0.2162,0.9106,-0.0546
support_v3_controller_rmsgap,6,SD3,E2.4 support-matched diagnostic,,diagnostic only; post-hoc blending rows are not main fair baselines,0.0374,0.0899,0.8908,-0.0175
