method,backbone,n,resolution,normalization_policy,e2_layer,claim_boundary,outside_mask_l1_mean,inside_mask_l1_mean,source_ssim_luma_mean,outside_mask_l1_excess_preserve_error_mean,edit_success_1_5_mean,preservation_1_5_mean,locality_1_5_mean,artifact_1_5_mean,overall_1_5_mean
fireflow,FLUX.1-dev,18,512x512 eval/display copy,fit native output to 512x512 canvas; preserve aspect ratio; original retained,E2.3 native implementation context,not E2.2 same-backbone algorithmic evidence,0.4036,0.1139,-0.3035,0.3344,3.0000,2.8333,2.3333,4.0000,2.8333
reflex,FLUX.1-dev,18,512x512 eval/display copy,fit native output to 512x512 canvas; preserve aspect ratio; original retained,E2.3 native implementation context,not E2.2 same-backbone algorithmic evidence,0.2908,0.1899,0.1895,0.2215,3.8333,1.8333,2.3333,3.3333,2.5000
rf_solver_edit,FLUX.1-dev,18,512x512 eval/display copy,fit native output to 512x512 canvas; preserve aspect ratio; original retained,E2.3 native implementation context,not E2.2 same-backbone algorithmic evidence,0.3956,0.0928,-0.2783,0.3263,2.8333,3.3333,3.0000,3.8333,3.1667
