avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_direction_similarity,clip_image_source_similarity,clip_source_score,clip_target_minus_source,clip_target_score,complete,dino_source_similarity,edit_score,eval_mask_area,failure_flag,failure_note,fill_texture_ratio,final_mask_area,fixed_eval_mask_area,inside_blue_ratio,inside_mask_l1,inside_mask_psnr,inside_mask_rmse,inside_texture_energy,local_clip_source_score,local_clip_target_minus_source,local_clip_target_score,local_crop_box,mask_path,mask_source,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,method_display,missing,outside_mask_l1,outside_mask_psnr,outside_mask_rmse,peak_gpu_memory_gb,result_image,ring_texture_energy,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_psnr,source_rmse,source_ssim,source_ssim_luma,success_host_box,success_host_score,success_object_box,success_object_in_source_score,success_object_phrase,success_object_present,success_object_score,success_relation,success_relation_correct,target_prompt,task,task_success
1.0,0.9285701091090838,1.0000000173846881,0.9285701314608256,-0.4329734494288762,-0.0015977260809449945,49.258020877838135,0.0855654776096344,0.019017360755242407,12.870605866114298,0.08474502712488174,0.9309780597686768,0.2802489399909973,0.014924228191375732,0.29517316818237305,True,0.832621693611145,0.014924228191375732,0.09208751860119048,,,1.073092124238698,0.0855654776096344,0.09208751860119048,0.4082186592601944,0.09521549940109253,16.770621613103383,0.14503369759876128,8.38955020904541,0.28320688009262085,0.013482987880706787,0.29668986797332764,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,91.82304382324219,0.045146506279706955,20.21308135986328,adaptive_full_generic_support,Generic support control,,0.05496644973754883,20.36868028458165,0.09584423289132275,13.549590110778809,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_10/result.png,7.818108081817627,bowl_apple_inside/adaptive_full_generic_support/seed_10,23.98635177896358,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.058672890067100525,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",19.881239510321016,0.10137667069516583,0.5288980945390812,0.5288980945390812,"192.3,134.6,315.0,255.0",0.9279183149337769,"227.6,169.6,272.7,210.7",0.39407452940940857,a red apple,True,0.5801690220832825,inside_host,True,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,True
1.0,0.9307522922754288,1.0000000074505806,0.9307523046930631,-0.4240238269170125,-0.0029839745936139175,59.002661307652794,0.0855654776096344,0.02004178909313244,13.344950914382935,0.08057259023189545,0.9138650894165039,0.25437667965888977,0.015690892934799194,0.27006757259368896,True,0.8155215382575989,0.015690892934799194,0.09208751860119048,,,0.9429907687102055,0.0855654776096344,0.09208751860119048,0.3790556747885368,0.09216627478599548,17.00654123917499,0.14114741800152977,5.868394374847412,0.25978344678878784,0.01579916477203369,0.27558261156082153,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,152.7974853515625,0.04570322483778,20.396018981933594,adaptive_full_generic_support,Generic support control,,0.06278999149799347,19.153628118068106,0.11023476842543743,13.38190746307373,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_11/result.png,6.223172664642334,bowl_apple_inside/adaptive_full_generic_support/seed_11,44.02060033194721,11,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.06549518555402756,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",18.905123587530838,0.11343414988050231,0.5283746184475999,0.5283746184475999,"163.8,141.6,314.2,270.8",0.7929419875144958,"198.9,219.0,299.0,320.4",0.39407452940940857,a red apple,True,0.9376516938209534,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.9305728524923325,0.9999999925494194,0.9305728500088056,-0.42405231793721515,-0.002756239819670251,58.74592169125875,0.0855654776096344,0.020060221169842407,13.360300421714783,0.07995478808879852,0.9148617386817932,0.25261127948760986,0.015452742576599121,0.268064022064209,True,0.8226467967033386,0.015452742576599121,0.09208751860119048,,,0.9538964083684361,0.0855654776096344,0.09208751860119048,0.37457391743466734,0.09130796045064926,17.13482861662562,0.1390780424154868,5.9513750076293945,0.25834518671035767,0.016313880681991577,0.27465906739234924,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,150.61123657226562,0.04570322483778,20.396018981933594,adaptive_full_generic_support,Generic support control,,0.06280624121427536,19.15308760493316,0.1102416284244341,13.38190746307373,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/adaptive_full_generic_support/seed_12/result.png,6.239016056060791,bowl_apple_inside/adaptive_full_generic_support/seed_12,45.77312180097215,12,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.0654309019446373,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",18.92272062177711,0.11320457247617538,0.5279583149641048,0.5279583149641048,"163.1,140.9,314.2,270.8",0.8078895211219788,"198.8,218.7,299.1,320.4",0.39407452940940857,a red apple,True,0.9363600611686707,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386904776096344,0.0,0.0,-0.05892688035964966,0.6728425621986389,0.2522696852684021,-0.02429148554801941,0.2279781997203827,True,0.33522504568099976,-0.02429148554801941,0.09208751860119048,,,0.910784472148745,0.0386904776096344,0.09208751860119048,0.5092791314228001,0.04275529459118843,23.178532143887303,0.06935430001509778,5.34566068649292,0.2306452840566635,-0.007509931921958923,0.2231353521347046,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.08250594139099121,18.716504534657112,0.11592437771415649,12.404802322387695,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/base_only/seed_10/result.png,5.869292736053467,bowl_apple_inside/base_only/seed_10,12.647415276034735,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.07884540408849716,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",18.981192754737513,0.11244505527307629,0.41182379909126926,0.41182379909126926,"183.2,133.3,315.1,260.6",0.7978373765945435,"50.9,14.5,493.7,334.6",0.39407452940940857,a red apple,True,0.3283727467060089,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386904776096344,0.0,0.0,-0.05892688035964966,0.6728425621986389,0.2522696852684021,-0.02429148554801941,0.2279781997203827,True,0.33522504568099976,-0.02429148554801941,0.09208751860119048,,,0.910784472148745,0.0386904776096344,0.09208751860119048,0.5092791314228001,0.04275529459118843,23.178532143887303,0.06935430001509778,5.34566068649292,0.2306452840566635,-0.007509931921958923,0.2231353521347046,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.08250594139099121,18.716504534657112,0.11592437771415649,12.228387355804443,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/base_only/seed_11/result.png,5.869292736053467,bowl_apple_inside/base_only/seed_11,24.904483293066733,11,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.07884540408849716,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",18.981192754737513,0.11244505527307629,0.41182379909126926,0.41182379909126926,"183.2,133.3,315.1,260.6",0.7978373765945435,"50.9,14.5,493.7,334.6",0.39407452940940857,a red apple,True,0.3283727467060089,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0386904776096344,0.0,0.0,-0.05892688035964966,0.6728425621986389,0.2522696852684021,-0.02429148554801941,0.2279781997203827,True,0.33522504568099976,-0.02429148554801941,0.09208751860119048,,,0.910784472148745,0.0386904776096344,0.09208751860119048,0.5092791314228001,0.04275529459118843,23.178532143887303,0.06935430001509778,5.34566068649292,0.2306452840566635,-0.007509931921958923,0.2231353521347046,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,0.0,0.0,0.0,base_only,RF reconstruction / base reconstruction,,0.08250594139099121,18.716504534657112,0.11592437771415649,12.228387355804443,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/base_only/seed_12/result.png,5.869292736053467,bowl_apple_inside/base_only/seed_12,24.287901722011156,12,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.07884540408849716,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",18.981192754737513,0.11244505527307629,0.41182379909126926,0.41182379909126926,"183.2,133.3,315.1,260.6",0.7978373765945435,"50.9,14.5,493.7,334.6",0.39407452940940857,a red apple,True,0.3283727467060089,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.9243635013699532,1.000000034769376,0.9243635212381681,0.0,0.0,34.61550635099411,0.0386904776096344,0.0,0.0,-0.05301354452967644,0.8419064283370972,0.308923602104187,-0.015188515186309814,0.2937350869178772,True,0.5805678367614746,-0.015188515186309814,0.09208751860119048,,,0.8714283899264621,0.0386904776096344,0.09208751860119048,0.5114884484282287,0.06446271389722824,19.71569375066651,0.10332735502762884,6.671941757202148,0.3067116141319275,-0.015133082866668701,0.2915785312652588,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,83.87122344970703,0.0,0.0,direct_target,Direct target guidance,,0.09274865686893463,17.742909757230652,0.12967447910665703,12.404802322387695,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/direct_target/seed_10/result.png,7.656328201293945,bowl_apple_inside/direct_target/seed_10,11.739561497000977,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.09014389663934708,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",17.891427179566385,0.1274760626663702,0.3434925987526114,0.3434925987526114,"192.0,134.4,316.8,255.3",0.9493722915649414,"127.7,94.4,342.0,308.7",0.39407452940940857,a red apple,True,0.41091424226760864,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.9243635013699532,1.000000034769376,0.9243635212381681,0.0,0.0,34.61550635099411,0.0386904776096344,0.0,0.0,-0.05301354452967644,0.8419064283370972,0.308923602104187,-0.015188515186309814,0.2937350869178772,True,0.5805678367614746,-0.015188515186309814,0.09208751860119048,,,0.8714283899264621,0.0386904776096344,0.09208751860119048,0.5114884484282287,0.06446271389722824,19.71569375066651,0.10332735502762884,6.671941757202148,0.3067116141319275,-0.015133082866668701,0.2915785312652588,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,83.87122344970703,0.0,0.0,direct_target,Direct target guidance,,0.09274865686893463,17.742909757230652,0.12967447910665703,12.228387355804443,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/direct_target/seed_11/result.png,7.656328201293945,bowl_apple_inside/direct_target/seed_11,25.250485384021886,11,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.09014389663934708,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",17.891427179566385,0.1274760626663702,0.3434925987526114,0.3434925987526114,"192.0,134.4,316.8,255.3",0.9493722915649414,"127.7,94.4,342.0,308.7",0.39407452940940857,a red apple,True,0.41091424226760864,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.9243635013699532,1.000000034769376,0.9243635212381681,0.0,0.0,34.61550635099411,0.0386904776096344,0.0,0.0,-0.05301354452967644,0.8419064283370972,0.308923602104187,-0.015188515186309814,0.2937350869178772,True,0.5805678367614746,-0.015188515186309814,0.09208751860119048,,,0.8714283899264621,0.0386904776096344,0.09208751860119048,0.5114884484282287,0.06446271389722824,19.71569375066651,0.10332735502762884,6.671941757202148,0.3067116141319275,-0.015133082866668701,0.2915785312652588,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,83.87122344970703,0.0,0.0,direct_target,Direct target guidance,,0.09274865686893463,17.742909757230652,0.12967447910665703,12.228387355804443,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/direct_target/seed_12/result.png,7.656328201293945,bowl_apple_inside/direct_target/seed_12,25.940458072931506,12,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.09014389663934708,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",17.891427179566385,0.1274760626663702,0.3434925987526114,0.3434925987526114,"192.0,134.4,316.8,255.3",0.9493722915649414,"127.7,94.4,342.0,308.7",0.39407452940940857,a red apple,True,0.41091424226760864,inside_host,False,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,False
1.0,0.9303441842397054,1.000000002483527,0.9303441767891248,-0.47867168486118317,-0.0014410709530541983,55.16568720340729,0.0498511902987957,0.019112178745369118,16.410365144411724,0.11266428232192993,0.9388043284416199,0.2571425139904022,0.018658220767974854,0.2758007347583771,True,0.8403672575950623,0.018658220767974854,0.09208751860119048,,,1.1952584183715471,0.0498511902987957,0.09208751860119048,0.40746117914404745,0.09762986749410629,15.983772826580886,0.1587856892958263,8.446343421936035,0.268196165561676,0.018093109130859375,0.2862892746925354,"120,42,392,280",/cluster/users/grad/2025/25t8103/project/experiments/support_v3_2026-06-02/eval_masks/bowl_apple_inside_eval_mask.png,fixed_eval_mask,1.0,111.25521850585938,0.04978067800402641,31.730886459350586,support_v3_controller_rmsgap,DeCE-RF,,0.053843822330236435,20.606143293288966,0.09325944688037052,13.382913589477539,/cluster/users/grad/2025/25t8103/project/outputs/pretty_matrix/bowl_apple_inside/support_v3_controller_rmsgap/seed_10/result.png,7.06654167175293,bowl_apple_inside/support_v3_controller_rmsgap/seed_10,45.281528966035694,10,/cluster/users/grad/2025/25t8103/project/data/pretty_free_candidates/pexels_empty_ceramic_bowl_phase1.jpg,0.057875972241163254,"A top-down photo of an empty blue ceramic bowl on a wooden board in a tidy table setting, with no fruit inside the bowl.",19.9062543118987,0.1010851324335192,0.5295704473850035,0.5295704473850035,"187.8,133.9,315.1,259.3",0.9278625845909119,"229.4,174.7,281.2,226.5",0.39407452940940857,a red apple,True,0.6469780206680298,inside_host,True,"A top-down photo of the same blue ceramic bowl on the same wooden board, with one small red apple centered inside the bowl, while the bowl, board, tableware, leaves, and background remain unchanged.",bowl_apple_inside,True
