base_method,clip_source_score,clip_target_minus_source,clip_target_score,complete,condition,edit_scale,eval_mask_area,family,final_mask_area,inside_mask_l1,local_clip_source_score,local_clip_target_minus_source,local_clip_target_score,local_crop_box,lpips_full,lpips_outside,mask_path,method,missing,outside_mask_l1,perturbation,result_image,runtime_seconds,seed,source_image,source_l1,source_prompt,source_ssim_luma,ssim_loss,target_prompt,task
support_v3_controller_rmsgap,0.2428237348794937,0.09578649699687958,0.3386102318763733,True,100,1.0,0.03527250744047619,edit_strength,0.02566964365541935,0.1391288787126541,0.17880091071128845,0.11204567551612854,0.290846586227417,"162,0,342,102",0.09353743493556976,0.07792675495147705,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit100,,0.0540507547557354,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_11/result.png,59.29785493097734,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05705166608095169,A photo of a cat sitting in grass.,0.8734381646702263,0.12656183532977372,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24038077890872955,0.10201872885227203,0.3423995077610016,True,100,1.0,0.03527250744047619,edit_strength,0.02566964365541935,0.13342833518981934,0.1837770789861679,0.11379559338092804,0.29757267236709595,"162,0,342,102",0.09330831468105316,0.07801153510808945,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit100,,0.054033514112234116,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit100/seed_12/result.png,59.730352430953644,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056833963841199875,A photo of a cat sitting in grass.,0.8745351436318385,0.12546485636816151,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24919068813323975,0.09519118070602417,0.3443818688392639,True,125,1.25,0.03527250744047619,edit_strength,0.02566964365541935,0.16072097420692444,0.1799367368221283,0.10947522521018982,0.2894119620323181,"162,0,342,102",0.0935056135058403,0.07781577110290527,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit125,,0.054059598594903946,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_10/result.png,52.687522228923626,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05782182887196541,A photo of a cat sitting in grass.,0.8697337463290797,0.13026625367092026,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2504015266895294,0.09434449672698975,0.34474602341651917,True,125,1.25,0.03527250744047619,edit_strength,0.02566964365541935,0.16134053468704224,0.18412384390830994,0.10493558645248413,0.28905943036079407,"162,0,342,102",0.09351824223995209,0.07790400832891464,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit125,,0.0540575310587883,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_11/result.png,62.08852957491763,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05784168839454651,A photo of a cat sitting in grass.,0.8698589892005222,0.13014101079947782,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.24973367154598236,0.09593237936496735,0.3456660509109497,True,125,1.25,0.03527250744047619,edit_strength,0.02566964365541935,0.16074144840240479,0.18249084055423737,0.1067708283662796,0.28926166892051697,"162,0,342,102",0.09342136979103088,0.07781360298395157,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit125,,0.05405307933688164,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit125/seed_12/result.png,57.669412935036235,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05781623721122742,A photo of a cat sitting in grass.,0.8699364713126734,0.13006352868732662,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2522933781147003,0.0901220440864563,0.3424154222011566,True,150,1.5,0.03527250744047619,edit_strength,0.02566964365541935,0.19304914772510529,0.1839151531457901,0.10841198265552521,0.2923271358013153,"162,0,342,102",0.09622739255428314,0.07964663207530975,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit150,,0.054714497178792953,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_10/result.png,50.564293800038286,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05959390103816986,A photo of a cat sitting in grass.,0.8630789235722177,0.13692107642778228,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2514954209327698,0.08635357022285461,0.3378489911556244,True,150,1.5,0.03527250744047619,edit_strength,0.02566964365541935,0.1978016197681427,0.18234942853450775,0.1092403382062912,0.29158976674079895,"162,0,342,102",0.09760689735412598,0.07994474470615387,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit150,,0.05475863441824913,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_11/result.png,100.87139129301067,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05980411916971207,A photo of a cat sitting in grass.,0.8630218625659863,0.13697813743401366,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.25125250220298767,0.09004664421081543,0.3412991464138031,True,150,1.5,0.03527250744047619,edit_strength,0.02566964365541935,0.19323140382766724,0.18253034353256226,0.11175182461738586,0.2942821681499481,"162,0,342,102",0.09639090299606323,0.0797121524810791,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit150,,0.05474080517888069,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit150/seed_12/result.png,82.37137278495356,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05962572246789932,A photo of a cat sitting in grass.,0.8613413504230267,0.13865864957697327,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.26193109154701233,0.08001267910003662,0.34194377064704895,True,200,2.0,0.03527250744047619,edit_strength,0.02566964365541935,0.2617778480052948,0.21027979254722595,0.05742737650871277,0.2677071690559387,"162,0,342,102",0.10008594393730164,0.08201864361763,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit200/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit200,,0.05516262352466583,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit200/seed_10/result.png,73.1977780140005,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06245045363903046,A photo of a cat sitting in grass.,0.8487916936298495,0.15120830637015048,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,0.2508994936943054,0.10100069642066956,0.351900190114975,True,200,2.0,0.03527250744047619,edit_strength,0.02566964365541935,0.26211434602737427,0.19841405749320984,0.10135647654533386,0.2997705340385437,"162,0,342,102",0.101461261510849,0.08236829936504364,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit200/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_edit200,,0.05524180829524994,,/home/Wu_25R8111/rf_h_edit_project/outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap_edit200/seed_11/result.png,77.77499988907948,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06253872066736221,A photo of a cat sitting in grass.,0.8507416041417203,0.1492583958582797,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
