task,variant,display_name,n,role,support_iou_mean,support_precision_mean,support_recall_mean,support_area_ratio_mean,outside_mask_l1_mean,inside_mask_l1_mean,source_ssim_luma_mean,edit_score_mean
mug_heart,attention_only,Attention only,3,semantic localization only,0.0000,0.0000,0.0000,0.0458,,,,
mug_heart,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0000,0.0000,0.0000,0.0484,,,,
mug_heart,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0000,0.0000,0.0000,0.0484,,,,
mug_heart,grounding_sam,Grounding/SAM,3,external segmentation only,0.1232,0.1232,1.0000,0.2042,,,,
mug_heart,generic_support,Generic support,3,weak automatic support,0.0000,0.0000,0.0000,0.0568,,,,
mug_heart,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.6060,0.6693,0.8703,0.0327,,,,
tote_leaf,attention_only,Attention only,3,semantic localization only,0.0000,0.0000,0.0000,0.0466,,,,
tote_leaf,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.1445,0.2842,0.2272,0.0473,,,,
tote_leaf,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.1445,0.2843,0.2272,0.0472,,,,
tote_leaf,grounding_sam,Grounding/SAM,3,external segmentation only,0.2519,0.2717,0.7761,0.1688,,,,
tote_leaf,generic_support,Generic support,3,weak automatic support,0.0000,0.0000,0.0000,0.1031,,,,
tote_leaf,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.6375,0.6854,0.9012,0.0777,,,,
red_office_chair_to_blue_office_chair,attention_only,Attention only,3,semantic localization only,0.0006,0.0015,0.0009,0.0447,,,,
red_office_chair_to_blue_office_chair,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0387,0.0952,0.0611,0.0479,,,,
red_office_chair_to_blue_office_chair,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0395,0.0961,0.0627,0.0487,,,,
red_office_chair_to_blue_office_chair,grounding_sam,Grounding/SAM,3,external segmentation only,0.6480,0.6622,0.9680,0.1090,,,,
red_office_chair_to_blue_office_chair,generic_support,Generic support,3,weak automatic support,0.5719,0.7402,0.7155,0.0721,,,,
red_office_chair_to_blue_office_chair,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.6500,0.6755,0.9452,0.1043,,,,
green_mug_orange_phase2,attention_only,Attention only,3,semantic localization only,0.0708,0.1127,0.1602,0.0464,,,,
green_mug_orange_phase2,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0485,0.0795,0.1104,0.0453,,,,
green_mug_orange_phase2,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0491,0.0798,0.1129,0.0462,,,,
green_mug_orange_phase2,grounding_sam,Grounding/SAM,3,external segmentation only,0.6239,0.6258,0.9952,0.0519,,,,
green_mug_orange_phase2,generic_support,Generic support,3,weak automatic support,0.7112,0.8688,0.7969,0.0299,,,,
green_mug_orange_phase2,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.6785,0.6871,0.9819,0.0466,,,,
yellow_vase_blue_phase2,attention_only,Attention only,3,semantic localization only,0.0000,0.0000,0.0000,0.0454,,,,
yellow_vase_blue_phase2,clean_disagreement,Clean disagreement,3,source-target clean-estimate gap,0.0924,0.1799,0.1589,0.0477,,,,
yellow_vase_blue_phase2,velocity_disagreement,Velocity disagreement,3,RF response without relation prior,0.0926,0.1806,0.1591,0.0477,,,,
yellow_vase_blue_phase2,grounding_sam,Grounding/SAM,3,external segmentation only,0.6332,0.6359,0.9935,0.0847,,,,
yellow_vase_blue_phase2,generic_support,Generic support,3,weak automatic support,0.7411,0.8328,0.8706,0.0567,,,,
yellow_vase_blue_phase2,operation_conditioned_support,Operation support,3,operation-conditioned geometry estimator,0.6754,0.6794,0.9913,0.0791,,,,
