task,perturbation,base_method,method,seed,clip_target_minus_source,outside_mask_l1,inside_mask_l1,source_ssim_luma,final_mask_area,eval_mask_area,runtime_seconds
dog_sunglasses,boundary_noise,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_boundary_noise,10,0.09891891479492188,0.045729901641607285,0.18274761736392975,0.9035236312483882,0.04531249776482582,0.0617236328125,57.089771753991954
dog_sunglasses,boundary_noise,support_v3_fixed,support_v3_fixed_pert_boundary_noise,10,0.09845972061157227,0.04577721655368805,0.1825082153081894,0.9038758761431809,0.04531249776482582,0.0617236328125,52.61735816102009
dog_sunglasses,dilate,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_dilate,10,0.09373453259468079,0.046657539904117584,0.22287112474441528,0.8911312003245407,0.07093749940395355,0.0617236328125,51.474961188971065
dog_sunglasses,dilate,support_v3_fixed,support_v3_fixed_pert_dilate,10,0.09405851364135742,0.046901311725378036,0.22852075099945068,0.8900728036943583,0.07093749940395355,0.0617236328125,52.02241811901331
dog_sunglasses,erode,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_erode,10,0.09520429372787476,0.045357562601566315,0.1491691619157791,0.913361899830925,0.029374999925494194,0.0617236328125,51.22609467303846
dog_sunglasses,erode,support_v3_fixed,support_v3_fixed_pert_erode,10,0.09502139687538147,0.04540402442216873,0.15177379548549652,0.9129112359261371,0.029374999925494194,0.0617236328125,51.67664103698917
dog_sunglasses,holes,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_holes,10,0.0984717309474945,0.04573369771242142,0.1845971643924713,0.9028555500835441,0.044999998062849045,0.0617236328125,54.274922930053435
dog_sunglasses,holes,support_v3_fixed,support_v3_fixed_pert_holes,10,0.09810110926628113,0.04577823355793953,0.18620456755161285,0.9029242703679591,0.044999998062849045,0.0617236328125,53.556570451008156
dog_sunglasses,shift,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_shift,10,0.0966290533542633,0.045940615236759186,0.1951518952846527,0.8990551473437266,0.04906249791383743,0.0617236328125,47.16438814997673
dog_sunglasses,shift,support_v3_fixed,support_v3_fixed_pert_shift,10,0.09590020775794983,0.04606250301003456,0.19770100712776184,0.8990674147805431,0.04906249791383743,0.0617236328125,55.83417176397052
mug_heart,boundary_noise,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_boundary_noise,10,0.045618683099746704,0.007616684306412935,0.07123920321464539,0.8774544707417752,0.0368303582072258,0.04050409226190476,47.340066128992476
mug_heart,boundary_noise,support_v3_fixed,support_v3_fixed_pert_boundary_noise,10,0.04399457573890686,0.007737177889794111,0.07305759936571121,0.8759082582496149,0.0368303582072258,0.04050409226190476,49.98006114095915
mug_heart,dilate,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_dilate,10,0.047397345304489136,0.010259201750159264,0.1063338965177536,0.8174835206452614,0.0531994067132473,0.04050409226190476,51.38338630704675
mug_heart,dilate,support_v3_fixed,support_v3_fixed_pert_dilate,10,0.0463944673538208,0.010291368700563908,0.10649992525577545,0.8181826514973765,0.0531994067132473,0.04050409226190476,51.67944725800771
mug_heart,erode,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_erode,10,0.05761200189590454,0.006891729775816202,0.011536396108567715,0.9667998665019489,0.0234375,0.04050409226190476,53.08838821994141
mug_heart,erode,support_v3_fixed,support_v3_fixed_pert_erode,10,0.05599135160446167,0.006889314390718937,0.011746132746338844,0.9663481767127806,0.0234375,0.04050409226190476,48.78546505700797
mug_heart,holes,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_holes,10,0.047239065170288086,0.007540272548794746,0.07070735841989517,0.879410112704051,0.032738097012043,0.04050409226190476,50.723965139943175
mug_heart,holes,support_v3_fixed,support_v3_fixed_pert_holes,10,0.04742872714996338,0.007624778430908918,0.07122419774532318,0.8813724130917783,0.032738097012043,0.04050409226190476,54.49778694298584
mug_heart,shift,support_v3_controller_rmsgap,support_v3_controller_rmsgap_pert_shift,10,0.054409950971603394,0.008662126027047634,0.059262510389089584,0.8984597848857648,0.0368303582072258,0.04050409226190476,47.021221879986115
mug_heart,shift,support_v3_fixed,support_v3_fixed_pert_shift,10,0.0534915030002594,0.00880460161715746,0.06097059324383736,0.8965733089862243,0.0368303582072258,0.04050409226190476,46.231468240963295
