task,method,seed,step,t,adaptive_edit_target_gap_rms,adaptive_edit_progress,adaptive_preserve_drift,adaptive_edit_weight,adaptive_preserve_weight,adaptive_clean_projection_ratio
dog_sunglasses,support_v3_controller_rmsgap,10,8.0,0.8773819208145142,2.026928424835205,0.10839616507291794,0.3043252229690552,1.0,1.310813057422638,0.012063821777701378
dog_sunglasses,support_v3_controller_rmsgap,10,9.0,0.8576923608779907,2.40545654296875,0.08696586638689041,0.29148435592651367,1.0,1.2787108898162842,0.010637398809194565
dog_sunglasses,support_v3_controller_rmsgap,10,10.0,0.8367167115211487,2.0897772312164307,0.11464152485132217,0.28220462799072266,1.0,1.2555115699768067,0.009373724460601807
dog_sunglasses,support_v3_controller_rmsgap,10,11.0,0.8143247961997986,1.2569705247879028,0.23409542441368103,0.2725314795970917,1.0,1.2313286989927292,0.01717781461775303
dog_sunglasses,support_v3_controller_rmsgap,10,12.0,0.7903683185577393,1.290350317955017,0.23114502429962158,0.2631666958332062,1.0,1.2079167395830155,0.01553362887352705
dog_sunglasses,support_v3_controller_rmsgap,10,13.0,0.7646771669387817,1.4403951168060303,0.1747782826423645,0.2550920844078064,1.0,1.187730211019516,0.013845081441104412
dog_sunglasses,support_v3_controller_rmsgap,10,14.0,0.7370558977127075,1.6456016302108765,0.12933728098869324,0.24804173409938812,1.0,1.1701043352484704,0.006321773864328861
dog_sunglasses,support_v3_controller_rmsgap,10,15.0,0.7072785496711731,1.330406665802002,0.19636170566082,0.24054864048957825,1.0,1.1513716012239457,0.011941100470721722
dog_sunglasses,support_v3_controller_rmsgap,10,16.0,0.6750823855400085,1.9135103225708008,0.10095340758562088,0.23363204300403595,1.0,1.13408010751009,0.006583400070667267
dog_sunglasses,support_v3_controller_rmsgap,10,17.0,0.6401602625846863,0.7875574827194214,0.44640135765075684,0.22685153782367706,1.0,1.1171288445591927,0.0011370418360456824
dog_sunglasses,support_v3_controller_rmsgap,10,18.0,0.6021506190299988,0.6654922366142273,0.5338186621665955,0.22311551868915558,1.0,1.107788796722889,0.010345391929149628
dog_sunglasses,support_v3_controller_rmsgap,10,19.0,0.5606250166893005,0.6145843267440796,0.5680864453315735,0.21692359447479248,1.0,1.0923089861869812,0.013888783752918243
dog_sunglasses,support_v3_controller_rmsgap,10,20.0,0.5150721073150635,0.5354036688804626,0.6311215758323669,0.20856355130672455,1.0,1.0714088782668114,0.013183020986616611
dog_sunglasses,support_v3_controller_rmsgap,10,21.0,0.46487605571746826,0.4423273205757141,0.7120919227600098,0.19765864312648773,1.0,1.0441466078162194,0.013980434276163578
dog_sunglasses,support_v3_controller_rmsgap,10,22.0,0.40928882360458374,0.35795801877975464,0.7855907678604126,0.18350274860858917,1.1240839624404906,1.008756871521473,0.012327534146606922
dog_sunglasses,support_v3_controller_rmsgap,10,23.0,0.34739264845848083,0.2802034318447113,0.8404049277305603,0.16557954251766205,1.2795931363105773,1.0,0.013537098653614521
dog_sunglasses,support_v3_controller_rmsgap,10,24.0,0.2780488133430481,0.1979546695947647,0.9008045196533203,0.14508852362632751,1.4440906608104704,1.0,0.02114078216254711
dog_sunglasses,support_v3_controller_rmsgap,10,25.0,0.19982698559761047,0.13294394314289093,0.9457070827484131,0.12179522216320038,1.55,1.0,0.034320905804634094
dog_sunglasses,support_v3_controller_rmsgap,10,26.0,0.1109057366847992,0.05755765363574028,0.9862654805183411,0.09693006426095963,1.55,1.0,0.032315827906131744
dog_sunglasses,support_v3_controller_rmsgap,10,27.0,0.008928571827709675,0.0015532091492787004,1.000605583190918,0.08718365430831909,1.55,1.0,0.0
mug_heart,support_v3_controller_rmsgap,10,4.0,0.9453875422477722,1.4745796918869019,0.05022485926747322,0.23037084937095642,1.0,1.4966688221693039,0.0054486836306750774
mug_heart,support_v3_controller_rmsgap,10,5.0,0.9298179745674133,1.9765602350234985,0.04980730637907982,0.2196560949087143,1.0,1.4484524270892143,0.01079387217760086
mug_heart,support_v3_controller_rmsgap,10,6.0,0.9133490324020386,1.8519045114517212,0.07356121391057968,0.2124478816986084,1.0,1.4160154676437378,0.015002761036157608
mug_heart,support_v3_controller_rmsgap,10,7.0,0.8959003686904907,2.6659772396087646,0.0016859471797943115,0.2086537927389145,1.0,1.3989420673251152,0.0
mug_heart,support_v3_controller_rmsgap,10,8.0,0.8773819208145142,3.850411891937256,0.007159839849919081,0.20347440242767334,1.0,1.37563481092453,0.0
mug_heart,support_v3_controller_rmsgap,10,9.0,0.8576923608779907,1.5200598239898682,0.12200447171926498,0.20132899284362793,1.0,1.3659804677963256,0.008280300535261631
mug_heart,support_v3_controller_rmsgap,10,10.0,0.8367167115211487,1.518368124961853,0.12470213323831558,0.19888395071029663,1.0,1.3549777781963348,0.0
mug_heart,support_v3_controller_rmsgap,10,11.0,0.8143247961997986,1.5137667655944824,0.13175389170646667,0.19586700201034546,1.0,1.3414015090465545,0.0
mug_heart,support_v3_controller_rmsgap,10,12.0,0.7903683185577393,1.0884101390838623,0.2245602011680603,0.19387228786945343,1.0,1.3324252954125404,0.0
mug_heart,support_v3_controller_rmsgap,10,13.0,0.7646771669387817,1.212308406829834,0.20263050496578217,0.19209663569927216,1.0,1.3244348606467247,0.0032023198436945677
mug_heart,support_v3_controller_rmsgap,10,14.0,0.7370558977127075,1.0523892641067505,0.2621360421180725,0.19077946245670319,1.0,1.3185075810551643,0.01168098021298647
mug_heart,support_v3_controller_rmsgap,10,15.0,0.7072785496711731,0.7805719375610352,0.3670411705970764,0.18788014352321625,1.0,1.305460645854473,0.007202867418527603
mug_heart,support_v3_controller_rmsgap,10,16.0,0.6750823855400085,0.5583568215370178,0.5151438117027283,0.1833256483078003,1.0,1.2849654173851013,0.012610011734068394
mug_heart,support_v3_controller_rmsgap,10,17.0,0.6401602625846863,0.45586034655570984,0.6053826808929443,0.1761198788881302,1.0,1.2525394549965858,0.013899726793169975
mug_heart,support_v3_controller_rmsgap,10,18.0,0.6021506190299988,0.3370329737663269,0.732524037361145,0.16168364882469177,1.165934052467346,1.187576419711113,0.007334803231060505
mug_heart,support_v3_controller_rmsgap,10,19.0,0.5606250166893005,0.23423554003238678,0.8374196887016296,0.14946967363357544,1.3715289199352263,1.1326135313510894,0.0065110526047647
mug_heart,support_v3_controller_rmsgap,10,20.0,0.5150721073150635,0.17568209767341614,0.9067888855934143,0.13938286900520325,1.4886358046531676,1.0872229105234146,0.009363364428281784
mug_heart,support_v3_controller_rmsgap,10,21.0,0.46487605571746826,0.13906122744083405,0.9528104662895203,0.13361836969852448,1.55,1.06128266364336,0.00565319275483489
mug_heart,support_v3_controller_rmsgap,10,22.0,0.40928882360458374,0.12830011546611786,0.9714829325675964,0.1280045211315155,1.55,1.0360203450918197,0.0
mug_heart,support_v3_controller_rmsgap,10,23.0,0.34739264845848083,0.09164420515298843,0.9734290242195129,0.12038511037826538,1.55,1.0017329967021942,0.004304402507841587
mug_heart,support_v3_controller_rmsgap,10,24.0,0.2780488133430481,0.07212267071008682,0.9874776005744934,0.10986243188381195,1.55,1.0,0.0
mug_heart,support_v3_controller_rmsgap,10,25.0,0.19982698559761047,0.06351567804813385,0.9900984168052673,0.0949387475848198,1.55,1.0,0.0
mug_heart,support_v3_controller_rmsgap,10,26.0,0.1109057366847992,0.030812827870249748,1.0010490417480469,0.07473688572645187,1.55,1.0,0.025087349116802216
mug_heart,support_v3_controller_rmsgap,10,27.0,0.008928571827709675,0.002193739404901862,0.9994122385978699,0.05833195522427559,1.55,1.0,0.0366489477455616
