task,method,seed,step,t,adaptive_edit_target_gap_rms,adaptive_edit_progress,adaptive_preserve_drift,adaptive_edit_weight,adaptive_preserve_weight,adaptive_clean_projection_ratio
cat_crown,support_v3_controller_rmsgap,10,4.0,0.9453875422477722,3.1644232273101807,0.06463854759931564,0.5290415287017822,1.0,1.65,0.003837791969999671
cat_crown,support_v3_controller_rmsgap,10,5.0,0.9298179745674133,2.7872941493988037,0.08711408078670502,0.5119442343711853,1.0,1.65,0.0036385662388056517
cat_crown,support_v3_controller_rmsgap,10,6.0,0.9133490324020386,2.2056431770324707,0.1009126827120781,0.48593801259994507,1.0,1.65,0.002999121556058526
cat_crown,support_v3_controller_rmsgap,10,7.0,0.8959003686904907,2.6029868125915527,0.0571143738925457,0.45959708094596863,1.0,1.65,0.0016724891029298306
cat_crown,support_v3_controller_rmsgap,10,8.0,0.8773819208145142,2.7414026260375977,0.06583787500858307,0.43185684084892273,1.0,1.6296421021223069,0.0037117768079042435
cat_crown,support_v3_controller_rmsgap,10,9.0,0.8576923608779907,3.1014270782470703,0.02071540430188179,0.40640345215797424,1.0,1.5660086303949357,0.0030237454921007156
cat_crown,support_v3_controller_rmsgap,10,10.0,0.8367167115211487,2.206944227218628,0.08357742428779602,0.3875468075275421,1.0,1.5188670188188553,0.0056397332809865475
cat_crown,support_v3_controller_rmsgap,10,11.0,0.8143247961997986,1.6667078733444214,0.12956763803958893,0.3700326979160309,1.0,1.4750817447900773,0.005087861325591803
cat_crown,support_v3_controller_rmsgap,10,12.0,0.7903683185577393,1.6226136684417725,0.13633956015110016,0.3552458882331848,1.0,1.438114720582962,0.005084547679871321
cat_crown,support_v3_controller_rmsgap,10,13.0,0.7646771669387817,1.8041397333145142,0.12432984262704849,0.3395622968673706,1.0,1.3989057421684266,0.004661806859076023
cat_crown,support_v3_controller_rmsgap,10,14.0,0.7370558977127075,1.642731785774231,0.1406235545873642,0.322659969329834,1.0,1.356649923324585,0.005210128612816334
cat_crown,support_v3_controller_rmsgap,10,15.0,0.7072785496711731,1.474030613899231,0.1823783665895462,0.3057875633239746,1.0,1.3144689083099366,0.006959824822843075
cat_crown,support_v3_controller_rmsgap,10,16.0,0.6750823855400085,1.0906686782836914,0.27977490425109863,0.28721392154693604,1.0,1.2680348038673401,0.007243458181619644
cat_crown,support_v3_controller_rmsgap,10,17.0,0.6401602625846863,0.8200130462646484,0.40412038564682007,0.2692449390888214,1.0,1.2231123477220536,0.007756768725812435
cat_crown,support_v3_controller_rmsgap,10,18.0,0.6021506190299988,0.7269785404205322,0.4680365025997162,0.2509922981262207,1.0,1.1774807453155518,0.0041144597344100475
cat_crown,support_v3_controller_rmsgap,10,19.0,0.5606250166893005,0.6419153213500977,0.533604621887207,0.23179130256175995,1.0,1.1294782564044,0.002896867925301194
cat_crown,support_v3_controller_rmsgap,10,20.0,0.5150721073150635,0.6083990335464478,0.561714231967926,0.21224269270896912,1.0,1.0806067317724228,0.00816256646066904
cat_crown,support_v3_controller_rmsgap,10,21.0,0.46487605571746826,0.49265748262405396,0.6676219701766968,0.1919829249382019,1.0,1.0299573123455048,0.007635087240487337
cat_crown,support_v3_controller_rmsgap,10,22.0,0.40928882360458374,0.37505969405174255,0.7634398937225342,0.17175506055355072,1.0898806118965148,1.0,0.007522512227296829
cat_crown,support_v3_controller_rmsgap,10,23.0,0.34739264845848083,0.27052780985832214,0.8561668992042542,0.15069521963596344,1.2989443802833556,1.0,0.008695114403963089
cat_crown,support_v3_controller_rmsgap,10,24.0,0.2780488133430481,0.18945157527923584,0.919560432434082,0.12776634097099304,1.4610968494415282,1.0,0.005857002921402454
cat_crown,support_v3_controller_rmsgap,10,25.0,0.19982698559761047,0.1284295916557312,0.9640518426895142,0.1033536046743393,1.55,1.0,0.022868551313877106
cat_crown,support_v3_controller_rmsgap,10,26.0,0.1109057366847992,0.06900980323553085,0.9819761514663696,0.07707696408033371,1.55,1.0,0.03521266579627991
cat_crown,support_v3_controller_rmsgap,10,27.0,0.008928571827709675,0.0020544729195535183,1.0001778602600098,0.06709707528352737,1.55,1.0,0.0
dog_sunglasses,support_v3_controller_rmsgap,10,4.0,0.9453875422477722,4.124440670013428,0.035642631351947784,0.38016024231910706,1.0,1.5004006057977677,0.014092424884438515
dog_sunglasses,support_v3_controller_rmsgap,10,5.0,0.9298179745674133,2.5466442108154297,0.11248158663511276,0.35370051860809326,1.0,1.4342512965202332,0.02782050520181656
dog_sunglasses,support_v3_controller_rmsgap,10,6.0,0.9133490324020386,2.0489046573638916,0.134957954287529,0.3378000557422638,1.0,1.3945001393556595,0.025503916665911674
dog_sunglasses,support_v3_controller_rmsgap,10,7.0,0.8959003686904907,2.1838817596435547,0.10495927929878235,0.32141226530075073,1.0,1.3535306632518769,0.013983055017888546
