task,seed,method,clip_target_minus_source,delta_vs_fixed_clip_target_minus_source,delta_vs_current_rmsgap_clip_target_minus_source,outside_mask_l1,delta_vs_fixed_outside_mask_l1,delta_vs_current_rmsgap_outside_mask_l1,inside_mask_l1,delta_vs_fixed_inside_mask_l1,delta_vs_current_rmsgap_inside_mask_l1,source_ssim_luma,delta_vs_fixed_source_ssim_luma,delta_vs_current_rmsgap_source_ssim_luma,expand_to_multiseed
cat_crown,10,support_v3_controller_rmsgap_normgate,0.09845691919326782,0.006468981504440308,0.0006073564291000366,0.05405692383646965,0.0002942197024822235,1.2479722499847412e-05,0.13774608075618744,-0.029911115765571594,0.00040994584560394287,0.8735724922537482,0.0021606130407166857,-0.00020119053043698987,False
dog_sunglasses,10,support_v3_controller_rmsgap_normgate,0.10005992650985718,0.0017354786396026611,-0.0005906224250793457,0.04577124863862991,-5.362555384635925e-05,-6.0498714447021484e-06,0.18130402266979218,-0.0013492852449417114,-0.001431480050086975,0.9038659214691569,6.296722256404763e-05,0.00045904570058441507,False
mug_heart,10,support_v3_controller_rmsgap_normgate,0.04326888918876648,0.001048445701599121,3.9458274841308594e-05,0.007711723912507296,-0.0001123831607401371,2.147722989320755e-05,0.07668239623308182,-0.0013764053583145142,0.000663362443447113,0.8662392174779283,0.001640453572728573,-0.0021946121332329094,False
