task,seed,method,clip_target_minus_source,outside_mask_l1,inside_mask_l1,source_ssim_luma,complete,runtime_seconds,result_image,mask_path
dog_sunglasses,12,support_v3_controller_progress,0.09275656938552856,0.045871321111917496,0.18701106309890747,0.9018813606145453,True,52.46447027893737,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_progress/seed_12/result.png,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_progress/seed_12/masks/operation_v3_edit_mask.png
dog_sunglasses,12,support_v3_controller_rmsgap,0.1002301573753357,0.045778244733810425,0.1839882880449295,0.9029939126281519,True,53.02963445102796,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png
dog_sunglasses,12,support_v3_fixed,0.09812000393867493,0.04583554342389107,0.18534857034683228,0.9030364640836567,True,52.55116100597661,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_12/result.png,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed/seed_12/masks/operation_v3_edit_mask.png
mug_heart,10,support_v3_controller_hybrid,0.04371026158332825,0.0077593824826180935,0.07698103785514832,0.8661151328717988,True,50.69931375491433,outputs/pretty_matrix/mug_heart/support_v3_controller_hybrid/seed_10/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_hybrid/seed_10/masks/operation_v3_edit_mask.png
mug_heart,10,support_v3_controller_progress,0.043741971254348755,0.00795943196862936,0.08322621136903763,0.8508286211263482,True,55.08052538195625,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_10/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_10/masks/operation_v3_edit_mask.png
mug_heart,10,support_v3_controller_rmsgap,0.04322943091392517,0.007690246682614088,0.0760190337896347,0.8684338296111612,True,55.68586693494581,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png
mug_heart,10,support_v3_fixed,0.04222044348716736,0.007824107073247433,0.07805880159139633,0.8645987639051997,True,51.91234807006549,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_10/result.png,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png
mug_heart,11,support_v3_controller_progress,0.04348677396774292,0.008039092645049095,0.08400850743055344,0.850324920940249,True,53.72067024197895,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_11/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_11/masks/operation_v3_edit_mask.png
mug_heart,11,support_v3_controller_rmsgap,0.0437486469745636,0.007678629830479622,0.07590516656637192,0.867867441659776,True,55.63680581189692,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png
mug_heart,11,support_v3_fixed,0.04284384846687317,0.007749737240374088,0.07729339599609375,0.8656786714716417,True,49.565598658053204,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_11/result.png,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_11/masks/operation_v3_edit_mask.png
mug_heart,12,support_v3_controller_progress,0.043756335973739624,0.008032850921154022,0.08408071845769882,0.8501778862104199,True,53.128533384995535,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_12/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_progress/seed_12/masks/operation_v3_edit_mask.png
mug_heart,12,support_v3_controller_rmsgap,0.0435519814491272,0.007729328703135252,0.0767437294125557,0.8671068717388233,True,52.30513237998821,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/result.png,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png
mug_heart,12,support_v3_fixed,0.04191321134567261,0.007826047018170357,0.07842274010181427,0.8637103001913815,True,51.89538862509653,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_12/result.png,outputs/pretty_matrix/mug_heart/support_v3_fixed/seed_12/masks/operation_v3_edit_mask.png
