base_method,complete,condition,edit_scale,eval_mask_area,family,final_mask_area,inside_mask_l1,mask_path,method,missing,outside_mask_l1,perturbation,result_image,runtime_seconds,seed,source_image,source_l1,source_prompt,source_ssim_luma,ssim_loss,target_prompt,task
support_v3_fixed,True,baseline,,0.03527250744047619,baseline,0.02566964365541935,0.16393423080444336,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/masks/operation_v3_edit_mask.png,support_v3_fixed,,0.053730741143226624,,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/result.png,50.24409321602434,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05761788785457611,A photo of a cat sitting in grass.,0.8717134470177841,0.12828655298221592,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,True,050,0.5,0.03527250744047619,edit_strength,0.02566964365541935,0.11503612995147705,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit050/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit050,,0.05382275581359863,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit050/seed_10/result.png,48.88815581705421,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05598190054297447,A photo of a cat sitting in grass.,0.8778244637106014,0.12217553628939859,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,True,075,0.75,0.03527250744047619,edit_strength,0.02566964365541935,0.1301681250333786,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit075/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit075,,0.05367448925971985,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit075/seed_10/result.png,51.37905885791406,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056372594088315964,A photo of a cat sitting in grass.,0.8760083597546994,0.12399164024530063,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,True,100,1.0,0.03527250744047619,edit_strength,0.02566964365541935,0.16457082331180573,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit100/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit100,,0.05374688655138016,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit100/seed_10/result.png,50.13679480005521,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05765591934323311,A photo of a cat sitting in grass.,0.8717591266321546,0.1282408733678454,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,True,125,1.25,0.03527250744047619,edit_strength,0.02566964365541935,0.2058737576007843,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit125/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit125,,0.0552360974252224,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit125/seed_10/result.png,53.2132292779861,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06054946407675743,A photo of a cat sitting in grass.,0.8612208266808193,0.13877917331918066,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_fixed,True,150,1.5,0.03527250744047619,edit_strength,0.02566964365541935,0.2465163916349411,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit150/seed_10/masks/operation_v3_edit_mask.png,support_v3_fixed_edit150,,0.055334579199552536,,outputs/pretty_matrix/cat_crown/support_v3_fixed_edit150/seed_10/result.png,46.20443720603362,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06207803636789322,A photo of a cat sitting in grass.,0.8566949865956652,0.14330501340433477,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
support_v3_controller_rmsgap,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.18273550271987915,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.045777298510074615,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_10/result.png,54.893409098964185,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05423085018992424,A front-facing portrait of a dog in snow.,0.9034068757685725,0.09659312423142752,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.1830780953168869,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.04577269405126572,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_11/result.png,55.82576166198123,11,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054247673600912094,A front-facing portrait of a dog in snow.,0.9032571962567071,0.09674280374329292,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,True,baseline,,0.0617236328125,baseline,0.04906249791383743,0.1839882880449295,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap,,0.045778244733810425,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_12/result.png,53.02963445102796,12,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05430908128619194,A front-facing portrait of a dog in snow.,0.9029939126281519,0.09700608737184813,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
support_v3_controller_rmsgap,True,boundary_noise,,0.0617236328125,support_perturb,0.04531249776482582,0.18274761736392975,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/masks/operation_v3_edit_mask.png,support_v3_controller_rmsgap_pert_boundary_noise,,0.045729901641607285,boundary_noise,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/result.png,57.089771753991954,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05418713390827179,A front-facing portrait of a dog in snow.,0.9035236312483882,0.09647636875161181,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
