task,file,page,direct_download,author,source,license_note,note
web_desk_mug,pexels_empty_desks_office_7534208.jpg,https://www.pexels.com/photo/empty-desks-in-modern-office-7534208/,https://images.pexels.com/photos/7534208/pexels-photo-7534208.jpeg?auto=compress&cs=tinysrgb&w=1400,Max Vakhtbovych,Pexels,Pexels free-to-use stock photo page; retain page URL for provenance.,empty desks; add red coffee mug on nearest desk
web_wall_clock,pexels_blank_room_7045322.jpg,https://www.pexels.com/photo/a-blank-room-interior-7045322/,https://images.pexels.com/photos/7045322/pexels-photo-7045322.jpeg?auto=compress&cs=tinysrgb&w=1400,Max Vakhtbovych,Pexels,Pexels free-to-use stock photo page; retain page URL for provenance.,blank room/wall; add round black wall clock on wall
web_shelf_books,pexels_empty_shelves_7195887.jpg,https://www.pexels.com/photo/dressing-room-with-empty-shelves-7195887/,https://images.pexels.com/photos/7195887/pexels-photo-7195887.jpeg?auto=compress&cs=tinysrgb&w=1400,Max Vakhtbovych,Pexels,Pexels free-to-use stock photo page; retain page URL for provenance.,empty shelves; add stack of colorful books on shelf
