avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_source_score,clip_target_minus_source,clip_target_score,complete,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.939837542672952,1.0000000099341075,0.9398375600576401,-0.34200306236743927,-0.0005683660368352624,20.966702063878376,0.0335286483168602,0.0231633874985467,15.733781019846598,0.3812214434146881,-0.00726357102394104,0.37395787239074707,True,,,0.0335286483168602,0.01691206637188312,0.04909924417734146,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,68.00202178955078,0.06235100328922272,27.81687355041504,adaptive_full_support_v3,,0.030318323522806168,13.908949851989746,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v3/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_support_v3/seed_10,53.94350499694701,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.03870043158531189,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.07389897864684307,0.9307789793152472,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9220789497097334,1.0000000124176343,0.9220789621273676,-0.44065206373731297,-0.0005267039644725932,48.79049940903982,0.02566964365541935,0.027662906868499704,15.660600900650024,0.24790067970752716,0.09452606737613678,0.34242674708366394,True,,,0.02566964365541935,0.12917892687970925,0.07091131806373596,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,99.3574447631836,0.0843069776892662,29.603742599487305,adaptive_full_support_v3,,0.02839207649230957,13.378939628601074,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3/seed_10/result.png,cat_crown/adaptive_full_support_v3/seed_10,51.31720814399887,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06089916080236435,A photo of a cat sitting in grass.,0.11256433409086757,0.861151049431913,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.925356479982535,0.9999999950329462,0.9253564849495888,-0.4119661257912715,-0.0031331273858086206,53.90098059177399,0.04906249791383743,0.01509552652714774,12.148142536481222,0.2702706456184387,0.09632188081741333,0.36659252643585205,True,,,0.04906249791383743,0.09891404311072477,0.05887986347079277,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,172.43325805664062,0.042883098125457764,21.141965866088867,adaptive_full_support_v3,,0.040885914117097855,14.104270935058594,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3/seed_10/result.png,dog_sunglasses/adaptive_full_support_v3/seed_10,50.581415309919976,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05483422055840492,A front-facing portrait of a dog in snow.,0.10365783621506183,0.9010845751231488,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9274052530527115,1.0000000149011612,0.9274052629868189,-0.4256955720484257,-0.0003666104612420895,33.81043269236883,0.0368303582072258,0.007545663732647275,18.513424158096313,0.3183085322380066,0.043883681297302246,0.36219221353530884,True,,,0.0368303582072258,0.004540867810292634,0.007115026470273733,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,141.68435668945312,0.015341784805059433,26.58917999267578,adaptive_full_support_v3,,0.02244165912270546,13.37891960144043,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3/seed_10/result.png,mug_heart/adaptive_full_support_v3/seed_10,48.83728875499219,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.011140546761453152,A minimalist photo of a plain white ceramic mug on a grey background.,0.04481322427936445,0.8484852107763152,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
