avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,complete,eval_mask_area,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.9396984825531641,1.0000000248352687,0.9396984552343687,-0.33924352067212266,-0.002368563075833663,25.515209058920544,0.0517578125,0.022877107296759885,15.27854593594869,True,0.4468027750651042,,,0.0517578125,0.0027207012351300585,0.05160712078213692,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/masks/combined.png,1.0,78.59740447998047,0.06188984215259552,27.56065559387207,adaptive_full_generic_support,,0.030678514391183853,13.919281959533691,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_10,57.57748198113404,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.04002947732806206,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.07872113239912835,0.9222207816397047,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,6.802489711234312e-05,0.0724727213382721,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/masks/combined.png,1.0,0.0,0.0,0.0,base_only,,0.06377851217985153,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/base_only/seed_10/result.png,backpack_remove_toy_charm/base_only/seed_10,69.12757796002552,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.06767892837524414,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.10494207966650737,0.8307405975451535,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9703656832377116,1.0,0.9703656782706579,0.0,0.0,16.16472073396047,0.0309244804084301,0.0,0.0,True,0.4486236572265625,,,0.0309244804084301,7.93623799644003e-05,0.09981563687324524,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/masks/combined.png,1.0,52.38732147216797,0.0,0.0,direct_target,,0.07646656781435013,12.22925329208374,outputs/pretty_matrix/backpack_remove_toy_charm/direct_target/seed_10/result.png,backpack_remove_toy_charm/direct_target/seed_10,31.826905897120014,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.08694150298833847,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.13602488739842972,0.73181022383089,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9371810679634412,0.9999999925494194,0.9371810605128607,-0.33755887920657796,-6.777340636906122e-05,39.89629844824473,0.1253255307674408,0.018025594210484996,17.351293722788494,True,0.13348897298177084,,,0.1253255307674408,0.0,0.21205852925777435,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,1.0,131.68563842773438,0.0523453913629055,37.33991241455078,support_v3_controller_rmsgap,,0.030538124963641167,13.9203462600708,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10,100.46978207095526,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.05476909875869751,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.10675120367090729,0.8803871046560889,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9458295976122221,0.9999999751647314,0.9458295851945877,-0.2965066072841485,-0.00024345963978097038,38.689326445261635,0.1253255307674408,0.020078148508522038,11.383154034614563,True,0.13348897298177084,,,0.1253255307674408,0.0,0.21218731999397278,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,1.0,131.68563842773438,0.0523453913629055,17.840450286865234,support_v3_fixed,,0.03142925724387169,13.919110298156738,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_fixed/seed_10/result.png,backpack_remove_toy_charm/support_v3_fixed/seed_10,100.81710394890979,10,/workspace/rf_h_edit/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.055558476597070694,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.10702464177273975,0.878209410699457,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9374190693100294,1.0,0.937419074277083,-0.4213687951366107,-0.0014240572503088818,38.087329149246216,0.0509672611951828,0.025608243444973294,15.054943641026815,True,0.7663109188988095,,,0.0509672611951828,0.1551467799438671,0.06730806082487106,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/masks/combined.png,1.0,73.41099548339844,0.07527968287467957,27.796995162963867,adaptive_full_generic_support,,0.02841155417263508,13.380748271942139,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,cat_crown/adaptive_full_generic_support/seed_10,77.85174330091104,10,/workspace/rf_h_edit/data/paper_images/cat_sitting_in_grass.jpg,0.05821836739778519,A photo of a cat sitting in grass.,0.10868582132802408,0.856398013136778,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1439732164144516,0.0,0.0,True,0.7385660807291666,,,0.1439732164144516,0.055054030868035606,0.08676210045814514,outputs/pretty_matrix/cat_crown/base_only/seed_10/masks/combined.png,1.0,0.0,0.0,0.0,base_only,,0.07017644494771957,12.228387355804443,outputs/pretty_matrix/cat_crown/base_only/seed_10/result.png,cat_crown/base_only/seed_10,88.60925099416636,10,/workspace/rf_h_edit/data/paper_images/cat_sitting_in_grass.jpg,0.0824260413646698,A photo of a cat sitting in grass.,0.11582813204378452,0.8064865906060679,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9265108729402224,1.0000000223517418,0.9265108729402224,0.0,0.0,86.26876147588094,0.1439732164144516,0.0,0.0,True,0.7385660807291666,,,0.1439732164144516,0.07029128658790937,0.13393302261829376,outputs/pretty_matrix/cat_crown/direct_target/seed_10/masks/combined.png,1.0,192.264404296875,0.0,0.0,direct_target,,0.09752251207828522,12.228387355804443,outputs/pretty_matrix/cat_crown/direct_target/seed_10/result.png,cat_crown/direct_target/seed_10,100.41507149883546,10,/workspace/rf_h_edit/data/paper_images/cat_sitting_in_grass.jpg,0.12441408634185791,A photo of a cat sitting in grass.,0.17859228812726605,0.5567812502976761,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9245982517798742,1.0000000223517418,0.9245982244610786,-0.4813045884172122,-0.0003413903835583672,51.13659461339315,0.02566964365541935,0.026564939485979266,20.981332898139954,True,0.03527250744047619,,,0.02566964365541935,0.012359920896506262,0.13506706058979034,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,1.0,107.28763580322266,0.08434727787971497,48.056922912597656,support_v3_controller_rmsgap,,0.05404103174805641,13.381706714630127,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,cat_crown/support_v3_controller_rmsgap/seed_10,74.25206209998578,10,/workspace/rf_h_edit/data/paper_images/cat_sitting_in_grass.jpg,0.05689902976155281,A photo of a cat sitting in grass.,0.10481876516895344,0.8744805578565527,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9285126229127248,1.0000000074505806,0.9285126104950905,-0.42366763452688855,-0.0004189906114030843,50.29681799809138,0.02566964365541935,0.029078877967549488,11.69955595334371,True,0.03527250744047619,,,0.02566964365541935,0.007251153592617007,0.1689656525850296,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,1.0,121.8409423828125,0.08434727787971497,17.948619842529297,support_v3_fixed,,0.053758420050144196,13.380579948425293,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/result.png,cat_crown/support_v3_fixed/seed_10,95.37233806797303,10,/workspace/rf_h_edit/data/paper_images/cat_sitting_in_grass.jpg,0.05782207101583481,A photo of a cat sitting in grass.,0.10666907702953686,0.8714407270450512,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
