task,method,paper_name,n,seeds,mask_source,fixed_eval_mask_area_mean,fixed_eval_mask_area_std,outside_mask_l1_mean,outside_mask_l1_std,inside_mask_l1_mean,inside_mask_l1_std,source_ssim_luma_mean,source_ssim_luma_std,dino_source_similarity_mean,dino_source_similarity_std,clip_target_minus_source_mean,clip_target_minus_source_std,inside_blue_ratio_mean,inside_blue_ratio_std
mug_heart,adaptive_full_generic_support,Generic support control,3,10 11 12,fixed_eval_mask,0.0423,0.0000,0.0082,0.0000,0.0056,0.0000,0.9654,0.0000,0.9599,0.0003,-0.0274,0.0001,0.0115,0.0003
mug_heart,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.0423,0.0000,0.0076,0.0001,0.0728,0.0012,0.9574,0.0002,0.8114,0.0006,0.0425,0.0006,0.0000,0.0000
tshirt_star,base_only,RF reconstruction / base reconstruction,3,10 11 12,fixed_eval_mask,0.0910,0.0000,0.0220,0.0000,0.0128,0.0000,0.8889,0.0000,0.9379,0.0000,-0.0070,0.0000,0.5595,0.0000
tshirt_star,direct_target,Direct target guidance,3,10 11 12,fixed_eval_mask,0.0910,0.0000,0.0417,0.0000,0.0152,0.0000,0.8446,0.0000,0.8672,0.0000,-0.0006,0.0000,0.5808,0.0000
tshirt_star,adaptive_full_generic_support,Generic support control,3,10 11 12,fixed_eval_mask,0.0910,0.0000,0.0292,0.0000,0.0101,0.0000,0.8648,0.0002,0.9089,0.0004,-0.0094,0.0004,0.3947,0.0007
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.0910,0.0000,0.0175,0.0000,0.0657,0.0002,0.8780,0.0000,0.6217,0.0048,0.0799,0.0006,0.4941,0.0035
backpack_remove_toy_charm,base_only,RF reconstruction / base reconstruction,3,10 11 12,fixed_eval_mask,0.0833,0.0000,0.0657,0.0000,0.0892,0.0000,0.6146,0.0000,0.8077,0.0000,0.0056,0.0000,0.0000,0.0000
backpack_remove_toy_charm,direct_target,Direct target guidance,3,10 11 12,fixed_eval_mask,0.0833,0.0000,0.0755,0.0000,0.2125,0.0000,0.5619,0.0000,0.7595,0.0000,-0.0078,0.0000,0.0000,0.0000
backpack_remove_toy_charm,adaptive_full_generic_support,Generic support control,3,10 11 12,fixed_eval_mask,0.0833,0.0000,0.0354,0.0000,0.0913,0.0001,0.7960,0.0000,0.9477,0.0006,-0.0077,0.0003,0.0000,0.0000
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.0833,0.0000,0.0397,0.0000,0.2201,0.0003,0.7369,0.0004,0.8845,0.0011,-0.0164,0.0004,0.0000,0.0000
red_chair_blue,base_only,RF reconstruction / base reconstruction,3,10 11 12,fixed_eval_mask,0.1898,0.0000,0.1244,0.0000,0.0874,0.0000,0.3246,0.0000,0.5454,0.0000,-0.0244,0.0000,0.0000,0.0000
red_chair_blue,direct_target,Direct target guidance,3,10 11 12,fixed_eval_mask,0.1898,0.0000,0.1194,0.0000,0.0959,0.0000,0.3275,0.0000,0.5603,0.0000,-0.0226,0.0000,0.0000,0.0000
red_chair_blue,adaptive_full_generic_support,Generic support control,3,10 11 12,fixed_eval_mask,0.1898,0.0000,0.0590,0.0000,0.2238,0.0002,0.5213,0.0003,0.8872,0.0057,0.0019,0.0036,0.9036,0.0018
red_chair_blue,support_v3_controller_rmsgap,DeCE-RF,3,10 11 12,fixed_eval_mask,0.1898,0.0000,0.0591,0.0001,0.2251,0.0003,0.5220,0.0004,0.8857,0.0046,0.0065,0.0024,0.8981,0.0012
