task,method,n,clip_target_minus_source_mean,clip_target_minus_source_std,local_clip_target_minus_source_mean,local_clip_target_minus_source_std,clip_image_source_similarity_mean,clip_image_source_similarity_std,clip_direction_similarity_mean,clip_direction_similarity_std,outside_mask_l1_mean,outside_mask_l1_std,outside_mask_psnr_mean,outside_mask_psnr_std,lpips_outside_mean,lpips_outside_std,source_ssim_luma_mean,source_ssim_luma_std,inside_mask_l1_mean,inside_mask_l1_std
cat_crown,base_only,3,-0.004245787858963013,0.0,-0.004245787858963013,0.0,0.8692642450332642,0.0,-0.07401667535305023,0.0,0.07017644494771957,0.0,20.374922112067612,0.0,0.156142920255661,0.0,0.51215370209805,0.0,0.08676210045814514,0.0
cat_crown,direct_target,3,0.0006511211395263672,0.0,0.0006511211395263672,0.0,0.8433589935302734,0.0,-0.05555098503828049,0.0,0.09752251207828522,0.0,17.56236592812259,0.0,0.20427852869033813,0.0,0.43582138269391796,0.0,0.13393302261829376,0.0
cat_crown,adaptive_full_generic_support,3,-0.0019766787687937417,0.0049926143462059,-0.0019766787687937417,0.0049926143462059,0.9600736697514852,0.016594424408891674,-0.11271301160256068,0.007395481227202446,0.028459602346022923,6.454424049997434e-05,27.657707389046557,0.027052553627891808,0.016886713604132336,0.00018987464157563426,0.6577388718451874,0.0008436005460597946,0.06711654116710027,0.0003535576118910309
cat_crown,support_v3_controller_rmsgap,3,0.10177137951056163,0.0014286985113860986,0.11238148311773936,0.0019560137572036023,0.8818415403366089,0.000981932263763847,0.2880856990814209,0.005679993919843192,0.054044097661972046,5.672195808206852e-06,20.14283178163112,0.0026534178386719066,0.07804831365744273,6.542608911352496e-05,0.6503898750233853,9.552919344103173e-05,0.13594240446885428,0.002713366431622566
dog_sunglasses,base_only,3,-0.02511298656463623,0.0,-0.02511298656463623,0.0,0.8981147408485413,0.0,-0.06282289326190948,0.0,0.06360837817192078,0.0,20.27288954917257,0.0,0.12814444303512573,0.0,0.6136810026949112,0.0,0.0662946105003357,0.0
dog_sunglasses,direct_target,3,0.05808565020561218,0.0,0.05808565020561218,0.0,0.7676695585250854,0.0,0.13952557742595673,0.0,0.09344973415136337,0.0,15.759446369469618,0.0,0.1382763683795929,0.0,0.5465305256137049,0.0,0.1265675276517868,0.0
dog_sunglasses,adaptive_full_generic_support,3,0.09664863348007202,0.0006704662473146142,0.09664863348007202,0.0006704662473146142,0.8677793542544047,0.0036608545939854757,0.3026461998621623,0.006131558573818589,0.040402901669343315,6.12737783668359e-05,22.35436115274916,0.018950897511655716,0.05612951268752416,0.00018720354165961266,0.6338404264124825,5.758450006436366e-05,0.057613421231508255,1.4062054080005131e-05
dog_sunglasses,support_v3_controller_rmsgap,3,0.08421577016512553,0.011090031814254364,0.0942997435728709,0.011378282146560724,0.9091540177663168,0.009763637134174833,0.3218568762143453,0.026216450616562165,0.04729504386583964,3.0803866912137606e-05,21.23774503875528,0.004819804939338509,0.13721506794293722,0.0003242419433738045,0.6236234249682857,0.0002727146829094892,0.14652406672636667,0.004500765711310607
mug_heart,base_only,3,-0.02869752049446106,0.0,-0.02869752049446106,0.0,0.9170174598693848,0.0,-0.03270142152905464,0.0,0.015122383832931519,0.0,33.374686869947595,0.0,0.041525501757860184,0.0,0.9589923932187598,0.0,0.013423970900475979,0.0
mug_heart,direct_target,3,-0.027618378400802612,0.0,-0.027618378400802612,0.0,0.9185492992401123,0.0,-0.03144112974405289,0.0,0.03235206380486488,0.0,26.98077027543439,0.0,0.11827355623245239,0.0,0.9138093733173928,0.0,0.036208733916282654,0.0
