avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_source_score,clip_target_minus_source,clip_target_score,complete,eval_mask_area,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.9304818113644918,1.0000000322858493,0.9304818312327067,-0.42867727826039,-0.0019583285738917766,61.234079440434776,0.04531249776482582,0.014804672018120376,14.358500719070435,0.26423126459121704,0.09891891479492188,0.3631501793861389,True,0.0617236328125,,,0.04531249776482582,0.03947472510086227,0.18274761736392975,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/masks/operation_v3_edit_mask.png,1.0,170.28945922851562,0.0430925190448761,29.233495712280273,support_v3_controller_rmsgap_pert_boundary_noise,,0.045729901641607285,14.1050705909729,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_boundary_noise/seed_10/result.png,dog_sunglasses/support_v3_controller_rmsgap_pert_boundary_noise/seed_10,57.089771753991954,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05418713390827179,A front-facing portrait of a dog in snow.,0.10220876812165275,0.9035236312483882,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9305465494592985,1.0000000074505806,0.9305465519428253,-0.41868844876686734,-0.0013427371962393408,69.07196410497029,0.07093749940395355,0.014339911246982714,14.107677658398947,0.2643384635448456,0.09373453259468079,0.35807299613952637,True,0.0617236328125,,,0.07093749940395355,0.017482794082746618,0.22287112474441528,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_dilate/seed_10/masks/operation_v3_edit_mask.png,1.0,208.55577087402344,0.04132699593901634,28.441944122314453,support_v3_controller_rmsgap_pert_dilate,,0.046657539904117584,14.105045795440674,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_dilate/seed_10/result.png,dog_sunglasses/support_v3_controller_rmsgap_pert_dilate/seed_10,51.474961188971065,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05753409117460251,A front-facing portrait of a dog in snow.,0.10912941711974734,0.8911312003245407,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9330596675475439,1.000000037252903,0.9330596501628557,-0.43568408985932666,-0.005232108436757699,50.447823683420815,0.029374999925494194,0.014959071724054715,14.266361037890116,0.2588697671890259,0.09520429372787476,0.35407406091690063,True,0.0617236328125,,,0.029374999925494194,0.02547266830155842,0.1491691619157791,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_erode/seed_10/masks/operation_v3_edit_mask.png,1.0,125.3291015625,0.04439781233668327,29.67802619934082,support_v3_controller_rmsgap_pert_erode,,0.045357562601566315,14.105045795440674,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_erode/seed_10/result.png,dog_sunglasses/support_v3_controller_rmsgap_pert_erode/seed_10,51.22609467303846,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05176519230008125,A front-facing portrait of a dog in snow.,0.09636319500492775,0.913361899830925,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.931686612466971,0.9999999751647314,0.9316866000493368,-0.4301156836251418,-0.002773386884049008,60.353467206160225,0.044999998062849045,0.014751727207719037,14.315272490183512,0.26591259241104126,0.0984717309474945,0.36438432335853577,True,0.0617236328125,,,0.044999998062849045,0.0504706906099201,0.1845971643924713,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_holes/seed_10/masks/operation_v3_edit_mask.png,1.0,166.2093505859375,0.04290345311164856,29.128433227539062,support_v3_controller_rmsgap_pert_holes,,0.04573369771242142,14.10505199432373,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_holes/seed_10/result.png,dog_sunglasses/support_v3_controller_rmsgap_pert_holes/seed_10,54.274922930053435,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054304853081703186,A front-facing portrait of a dog in snow.,0.1026293039592604,0.9028555500835441,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9324544941385587,1.0000000099341075,0.9324544966220856,-0.4244683173795541,-0.00280872266254543,56.95944792032242,0.04906249791383743,0.015023076140399402,14.55081876118978,0.26588088274002075,0.0966290533542633,0.36250993609428406,True,0.0617236328125,,,0.04906249791383743,0.03093109722332094,0.1951518952846527,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_shift/seed_10/masks/operation_v3_edit_mask.png,1.0,177.88311767578125,0.04282667860388756,29.065540313720703,support_v3_controller_rmsgap_pert_shift,,0.045940615236759186,14.105045795440674,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap_pert_shift/seed_10/result.png,dog_sunglasses/support_v3_controller_rmsgap_pert_shift/seed_10,47.16438814997673,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05515046417713165,A front-facing portrait of a dog in snow.,0.10450004387670947,0.8990551473437266,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9306015918652216,1.0000000298023224,0.930601586898168,-0.3873745867361625,-0.002468220767468665,59.52216360966364,0.04531249776482582,0.015596859777967135,10.581381519635519,0.265010803937912,0.09845972061157227,0.36347052454948425,True,0.0617236328125,,,0.04531249776482582,0.03322521952377185,0.1825082153081894,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_boundary_noise/seed_10/masks/operation_v3_edit_mask.png,1.0,170.28945922851562,0.0430925190448761,18.008277893066406,support_v3_fixed_pert_boundary_noise,,0.04577721655368805,14.101945400238037,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_boundary_noise/seed_10/result.png,dog_sunglasses/support_v3_fixed_pert_boundary_noise/seed_10,52.61735816102009,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.054216742515563965,A front-facing portrait of a dog in snow.,0.10198132190807015,0.9038758761431809,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9300509616732597,1.0000000049670537,0.9300509467720985,-0.37438545500238735,-0.0018798611620998902,68.09229735533397,0.07093749940395355,0.015249955948092975,10.561793605486551,0.26525887846946716,0.09405851364135742,0.3593173921108246,True,0.0617236328125,,,0.07093749940395355,0.015109564116762914,0.22852075099945068,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_dilate/seed_10/masks/operation_v3_edit_mask.png,1.0,208.55577087402344,0.04132699593901634,18.316829681396484,support_v3_fixed_pert_dilate,,0.046901311725378036,14.10192060470581,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_dilate/seed_10/result.png,dog_sunglasses/support_v3_fixed_pert_dilate/seed_10,52.02241811901331,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.058111522346735,A front-facing portrait of a dog in snow.,0.10976730817135551,0.8900728036943583,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9326368421316147,1.0000000149011612,0.9326368421316147,-0.39348289494713146,-0.0069798474238875014,49.07627705732981,0.029374999925494194,0.015713420803270612,10.539015968640646,0.25766822695732117,0.09502139687538147,0.35268962383270264,True,0.0617236328125,,,0.029374999925494194,0.021912823352582864,0.15177379548549652,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_erode/seed_10/masks/operation_v3_edit_mask.png,1.0,125.3291015625,0.04439781233668327,17.854473114013672,support_v3_fixed_pert_erode,,0.04540402442216873,14.10192060470581,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_erode/seed_10/result.png,dog_sunglasses/support_v3_fixed_pert_erode/seed_10,51.67664103698917,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05196954682469368,A front-facing portrait of a dog in snow.,0.09663116798139565,0.9129112359261371,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9308789223432541,1.000000002483527,0.9308788975079855,-0.3899837415665388,-0.0037736894591944292,58.731399953365326,0.044999998062849045,0.015512123859177033,10.535853703816732,0.26413822174072266,0.09810110926628113,0.3622393310070038,True,0.0617236328125,,,0.044999998062849045,0.09548295229807768,0.18620456755161285,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_holes/seed_10/masks/operation_v3_edit_mask.png,1.0,166.2093505859375,0.04290345311164856,17.991121292114258,support_v3_fixed_pert_holes,,0.04577823355793953,14.101926803588867,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_holes/seed_10/result.png,dog_sunglasses/support_v3_fixed_pert_holes/seed_10,53.556570451008156,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05444585904479027,A front-facing portrait of a dog in snow.,0.1025824228070603,0.9029242703679591,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9329300423463186,0.9999999950329462,0.9329300572474798,-0.37598371009031933,-0.0032850477194491154,55.84788407882055,0.04906249791383743,0.01611000306729693,10.821513374646505,0.2646329700946808,0.09590020775794983,0.3605331778526306,True,0.0617236328125,,,0.04906249791383743,0.025630883632624002,0.19770100712776184,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_shift/seed_10/masks/operation_v3_edit_mask.png,1.0,177.88311767578125,0.04282667860388756,18.578447341918945,support_v3_fixed_pert_shift,,0.04606250301003456,14.10192060470581,outputs/pretty_matrix/dog_sunglasses/support_v3_fixed_pert_shift/seed_10/result.png,dog_sunglasses/support_v3_fixed_pert_shift/seed_10,55.83417176397052,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05542219802737236,A front-facing portrait of a dog in snow.,0.10441817577008032,0.8990674147805431,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
