avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_source_score,clip_target_minus_source,clip_target_score,complete,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.9395571599404017,1.0000000149011612,0.9395571624239286,-0.34360422876973945,-0.004934673042953364,25.08044256766637,0.0537109375,0.023203473193764996,15.533335288365683,0.38953664898872375,-0.009718716144561768,0.379817932844162,True,,,0.0537109375,0.0027465013447599946,0.051390860229730606,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/masks/combined.png,1.0,79.77579498291016,0.06214305758476257,27.64241600036621,adaptive_full_generic_support,,0.03125360980629921,13.908263206481934,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_generic_support/seed_10,46.56915700098034,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.0402410589158535,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.07917923116528937,0.9215613605043275,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9369624058405558,1.0000000248352687,0.9369624430934588,-0.34179119889934856,-0.0032200872349979668,24.075116376082104,0.0514322929084301,0.02305391157278791,15.511713345845541,0.38941195607185364,-0.007916808128356934,0.3814951479434967,True,,,0.0514322929084301,0.0027578976159000775,0.0519777350127697,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v2/seed_10/masks/combined.png,1.0,79.14039611816406,0.061934277415275574,27.60921859741211,adaptive_full_support_v2,,0.030793681740760803,13.908469200134277,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v2/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_support_v2/seed_10,51.6362714440329,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.040248334407806396,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.0793567473721426,0.9221996912547523,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9372228955229124,1.0000000322858493,0.9372228955229124,-0.3357308395206928,-0.0026440792898938525,26.098068634668987,0.0589192733168602,0.022202625177063357,15.277752161026001,0.3809129297733307,-0.008215457201004028,0.37269747257232666,True,,,0.0589192733168602,0.0027465013447599946,0.05532190948724747,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,86.67442321777344,0.060051336884498596,27.197172164916992,adaptive_full_support_v3,,0.03143283352255821,13.90893840789795,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v3/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_support_v3/seed_10,50.12390043900814,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.04209475219249725,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.08254754984628718,0.9143940109575411,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9446503892540932,0.999999962747097,0.944650428990523,-0.3065429149816434,-0.00015424158785511585,35.57466971874237,0.1253255307674408,0.01937950464586417,14.548698544502258,0.36700451374053955,-0.018838495016098022,0.34816601872444153,True,,,0.1253255307674408,0.0,0.2133646011352539,outputs/pretty_matrix/backpack_remove_toy_charm/manual_support/seed_10/masks/semantic_base.png,1.0,130.8999786376953,0.052328355610370636,25.624195098876953,manual_support,,0.0314771868288517,13.908045768737793,outputs/pretty_matrix/backpack_remove_toy_charm/manual_support/seed_10/result.png,backpack_remove_toy_charm/manual_support/seed_10,52.62247732805554,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.055757150053977966,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.10695219095935446,0.878088283167666,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9351289694507917,1.0000000074505806,0.9351289719343185,-0.4343538209795952,-0.0022617164589367653,36.71896227200826,0.0509672611951828,0.02518796759735172,14.896629571914673,0.27724945545196533,0.003809422254562378,0.2810588777065277,True,,,0.0509672611951828,0.1556990032161675,0.06835213303565979,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/masks/combined.png,1.0,72.87499237060547,0.0752333477139473,27.782358169555664,adaptive_full_generic_support,,0.028202464804053307,13.378302097320557,outputs/pretty_matrix/cat_crown/adaptive_full_generic_support/seed_10/result.png,cat_crown/adaptive_full_generic_support/seed_10,51.65258484694641,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.0588979572057724,A photo of a cat sitting in grass.,0.1105416904959106,0.8524353063652617,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9363181168834368,1.0000000149011612,0.9363180547952652,-0.4351581384738286,-0.0022187883587321267,37.251962780952454,0.0509672611951828,0.02516358654247597,14.8840043147405,0.27685871720314026,0.004380732774734497,0.28123944997787476,True,,,0.0509672611951828,0.15639850064247318,0.06818953901529312,outputs/pretty_matrix/cat_crown/adaptive_full_support_v2/seed_10/masks/combined.png,1.0,73.17854309082031,0.07523851096630096,27.782440185546875,adaptive_full_support_v2,,0.02836616523563862,13.37845754623413,outputs/pretty_matrix/cat_crown/adaptive_full_support_v2/seed_10/result.png,cat_crown/adaptive_full_support_v2/seed_10,51.98111578694079,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05881219357252121,A photo of a cat sitting in grass.,0.11012284029240381,0.8531599409330667,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9336131165424982,1.0000000223517418,0.9336131140589714,-0.39680670698483783,-0.003962185689791416,53.01413035392761,0.0595238097012043,0.02990300105981684,16.962659517923992,0.2599562406539917,0.08715945482254028,0.347115695476532,True,,,0.0595238097012043,0.12872273290603164,0.07279902696609497,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,124.1523208618164,0.07937926054000854,28.615028381347656,adaptive_full_support_v3,,0.038439519703388214,13.378918647766113,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3/seed_10/result.png,cat_crown/adaptive_full_support_v3/seed_10,51.03266397700645,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06470826268196106,A photo of a cat sitting in grass.,0.11353490235874328,0.8534660494089589,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9277721593777338,1.0000000173846881,0.9277721469600996,-0.44602614268660545,-0.0011955545232922304,47.32407899697622,0.0234375,0.027817647108652938,15.7103111743927,0.2517545223236084,0.09654417634010315,0.34829869866371155,True,,,0.0234375,0.01931130758492322,0.2366797775030136,outputs/pretty_matrix/cat_crown/manual_support/seed_10/masks/semantic_base.png,1.0,89.04644012451172,0.08481942117214203,29.682832717895508,manual_support,,0.05450552701950073,13.378130435943604,outputs/pretty_matrix/cat_crown/manual_support/seed_10/result.png,cat_crown/manual_support/seed_10,49.248197859036736,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05905691534280777,A photo of a cat sitting in grass.,0.10894207765981757,0.8663752455930939,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9262502367297808,0.9999999925494194,0.9262501994768778,-0.4181029113630454,-0.0029087291835215487,53.900925735632576,0.04874999821186066,0.01497173217164042,12.017396211624146,0.25757890939712524,0.09793362021446228,0.3555125296115875,True,,,0.04874999821186066,0.10789649394660922,0.057658739387989044,outputs/pretty_matrix/dog_sunglasses/adaptive_full_generic_support/seed_10/masks/combined.png,1.0,170.94357299804688,0.04306493327021599,21.198026657104492,adaptive_full_generic_support,,0.040542121976614,14.10353708267212,outputs/pretty_matrix/dog_sunglasses/adaptive_full_generic_support/seed_10/result.png,dog_sunglasses/adaptive_full_generic_support/seed_10,51.986394412931986,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05381034314632416,A front-facing portrait of a dog in snow.,0.10150810765901934,0.9048215181901603,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9260939881205559,1.0000000099341075,0.9260939757029215,-0.4181043008963267,-0.002849392523179025,53.57471505800883,0.04874999821186066,0.014984583394834772,12.026639302571615,0.2582547664642334,0.09826993942260742,0.3565247058868408,True,,,0.04874999821186066,0.10726658855839853,0.05761946737766266,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v2/seed_10/masks/combined.png,1.0,170.94357299804688,0.04306493327021599,21.198026657104492,adaptive_full_support_v2,,0.04048983380198479,14.103745937347412,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v2/seed_10/result.png,dog_sunglasses/adaptive_full_support_v2/seed_10,55.429083583992906,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05376812070608139,A front-facing portrait of a dog in snow.,0.10138885159969006,0.9050004657404964,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
