avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_source_score,clip_target_minus_source,clip_target_score,complete,eval_mask_area,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.9222855170567831,1.0,0.9222855592767397,-0.47850493465860683,-0.00040394554832801077,46.35866711537043,0.02566964365541935,0.026675237735616975,21.086676836013794,0.2509291470050812,0.08906689286231995,0.3399960398674011,True,0.03527250744047619,,,0.02566964365541935,0.004449571522742254,0.1987600326538086,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_10/masks/operation_v3_edit_mask.png,1.0,96.26486206054688,0.0843069776892662,48.03907012939453,support_v3_controller_progress,,0.054766733199357986,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_10/result.png,cat_crown/support_v3_controller_progress/seed_10,52.70275219902396,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05984574183821678,A photo of a cat sitting in grass.,0.11058508377796689,0.8622848883847052,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9218083322048187,1.000000002483527,0.9218083123366038,-0.47849464043974876,-0.0003831644145672423,46.11183168490728,0.02566964365541935,0.026659147794513654,21.076223095258076,0.25102365016937256,0.0867895781993866,0.33781322836875916,True,0.03527250744047619,,,0.02566964365541935,0.01071193144363876,0.19643883407115936,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_11/masks/operation_v3_edit_mask.png,1.0,96.2343521118164,0.0843069776892662,48.03907012939453,support_v3_controller_progress,,0.054775260388851166,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_11/result.png,cat_crown/support_v3_controller_progress/seed_11,51.58608741196804,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05977209284901619,A photo of a cat sitting in grass.,0.1104603206137862,0.8626437882571854,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9215885053078333,0.9999999701976776,0.9215884581208229,-0.47814065714677173,-0.00036749653569737956,45.957768738269806,0.02566964365541935,0.02668192876444664,21.090837796529133,0.25132736563682556,0.08670765161514282,0.3380350172519684,True,0.03527250744047619,,,0.02566964365541935,0.01746868820039552,0.19656012952327728,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_12/masks/operation_v3_edit_mask.png,1.0,95.13041687011719,0.0843069776892662,48.03907012939453,support_v3_controller_progress,,0.05476633459329605,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_progress/seed_12/result.png,cat_crown/support_v3_controller_progress/seed_12,48.91212517209351,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05976775661110878,A photo of a cat sitting in grass.,0.11042329262999799,0.8628868717272373,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9259197289745013,1.0000000298023224,0.9259197115898132,-0.48148229966561,-0.00026687200170272263,51.76949538787206,0.02566964365541935,0.026566096756141633,20.97483281294505,0.2416345626115799,0.09784956276416779,0.3394841253757477,True,0.03527250744047619,,,0.02566964365541935,0.01071193144363876,0.1373361349105835,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,1.0,108.13229370117188,0.0843069776892662,48.03907012939453,support_v3_controller_rmsgap,,0.0540444441139698,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,cat_crown/support_v3_controller_rmsgap/seed_10,50.421306415926665,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05698235332965851,A photo of a cat sitting in grass.,0.10496886876801667,0.8737736827841852,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9239370226860046,1.0,0.9239369928836823,-0.48104942217469215,-0.0003408575469923865,50.50572292009989,0.02566964365541935,0.026567694163531996,20.98371211687724,0.23982372879981995,0.102425217628479,0.34224894642829895,True,0.03527250744047619,,,0.02566964365541935,0.013019116677653262,0.13359226286411285,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,1.0,110.2271499633789,0.0843069776892662,48.03907012939453,support_v3_controller_rmsgap,,0.05404279753565788,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,cat_crown/support_v3_controller_rmsgap/seed_11,55.334945684997365,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056848712265491486,A photo of a cat sitting in grass.,0.10468687655135166,0.8744053716664747,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.926058848698934,0.9999999900658926,0.926058828830719,-0.4811976415415605,-0.00027394112779196195,51.89895375569662,0.02566964365541935,0.026572458096779883,20.985400080680847,0.24009056389331818,0.09811566770076752,0.3382062315940857,True,0.03527250744047619,,,0.02566964365541935,0.00988793671720501,0.13705672323703766,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,1.0,108.96897888183594,0.0843069776892662,48.03907012939453,support_v3_controller_rmsgap,,0.05404631420969963,13.379590511322021,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,cat_crown/support_v3_controller_rmsgap/seed_12,54.47010108397808,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05697430670261383,A photo of a cat sitting in grass.,0.1049086435926727,0.8738510422243916,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9287114640076956,1.0,0.928711454073588,-0.42401274169484776,-0.00037741318283224246,50.530774652957916,0.02566964365541935,0.02897298044990748,11.680488387743631,0.24656322598457336,0.09198793768882751,0.3385511636734009,True,0.03527250744047619,,,0.02566964365541935,0.005108767303889255,0.16765719652175903,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/masks/operation_v3_edit_mask.png,1.0,123.3782958984375,0.0843069776892662,17.941661834716797,support_v3_fixed,,0.05376270413398743,13.376965045928955,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_10/result.png,cat_crown/support_v3_fixed/seed_10,46.424099384923466,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.057780053466558456,A photo of a cat sitting in grass.,0.10663384618627753,0.8714118792130315,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9284698714812597,0.9999999950329462,0.9284698516130447,-0.4245595782995224,-0.000375954241008003,50.301389714082084,0.02566964365541935,0.02893601858522743,11.666873574256897,0.2469959557056427,0.09182623028755188,0.3388221859931946,True,0.03527250744047619,,,0.02566964365541935,0.0042847725774555045,0.16551069915294647,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/masks/operation_v3_edit_mask.png,1.0,123.82954406738281,0.0843069776892662,17.941661834716797,support_v3_fixed,,0.05373867601156235,13.376965045928955,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_11/result.png,cat_crown/support_v3_fixed/seed_11,54.49481540406123,11,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05768115818500519,A photo of a cat sitting in grass.,0.10637892393911101,0.8716135073452734,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9288020034631094,0.9999999975164732,0.9288020357489586,-0.42438599094748497,-0.0003950170369080297,50.35022620360056,0.02566964365541935,0.028913240642092813,11.662264823913574,0.24644067883491516,0.09218832850456238,0.33862900733947754,True,0.03527250744047619,,,0.02566964365541935,0.003131179960448253,0.16393423080444336,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/masks/operation_v3_edit_mask.png,1.0,122.57061767578125,0.0843069776892662,17.941661834716797,support_v3_fixed,,0.053730741143226624,13.376965045928955,outputs/pretty_matrix/cat_crown/support_v3_fixed/seed_12/result.png,cat_crown/support_v3_fixed/seed_12,50.24409321602434,12,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.05761788785457611,A photo of a cat sitting in grass.,0.10618303078238117,0.8717134470177841,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9264441207051277,1.0000000173846881,0.9264441505074501,-0.4380543927351634,-0.0023296335190631603,53.09255939722061,0.04906249791383743,0.014845580134230355,14.356931805610657,0.2786729037761688,0.09266766905784607,0.3713405728340149,True,0.0617236328125,,,0.04906249791383743,0.035835772486353924,0.18782579898834229,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_progress/seed_10/masks/operation_v3_edit_mask.png,1.0,172.43325805664062,0.042883098125457764,29.12256622314453,support_v3_controller_progress,,0.04585571587085724,14.105045795440674,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_progress/seed_10/result.png,dog_sunglasses/support_v3_controller_progress/seed_10,50.503497547935694,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05461861938238144,A front-facing portrait of a dog in snow.,0.10330930427649931,0.901687698293258,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
