avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_source_score,clip_target_minus_source,clip_target_score,complete,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.9261918465296427,1.0000000124176343,0.9261918291449547,-0.43493671466906864,-0.00011801849848325219,50.33373280366262,0.02566964365541935,0.02790437022728535,15.60759993394216,0.24646757543087006,0.09502910077571869,0.34149667620658875,True,,,0.02566964365541935,0.12675349558632332,0.066154345870018,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3_v0/seed_10/masks/combined.png,1.0,121.61295318603516,0.0843069776892662,29.603742599487305,adaptive_full_support_v3_v0,,0.027125384658575058,13.379260063171387,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3_v0/seed_10/result.png,cat_crown/adaptive_full_support_v3_v0/seed_10,48.309719028067775,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.056964050978422165,A photo of a cat sitting in grass.,0.10496492936210099,0.8737418026008031,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9229774922132492,1.000000002483527,0.9229774673779806,-0.4306289690236251,-0.00020816166503815717,48.76201728979746,0.02566964365541935,0.02823364878713619,15.832154194513956,0.25581610202789307,0.09048447012901306,0.34630057215690613,True,,,0.02566964365541935,0.1274910091771021,0.07088053226470947,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3_v1/seed_10/masks/combined.png,1.0,96.37088012695312,0.0843069776892662,29.603742599487305,adaptive_full_support_v3_v1,,0.028038538992404938,13.379260063171387,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3_v1/seed_10/result.png,cat_crown/adaptive_full_support_v3_v1/seed_10,48.80472638993524,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06079236790537834,A photo of a cat sitting in grass.,0.11280734726056571,0.860561105104544,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9287114640076956,1.0,0.928711454073588,-0.42401274169484776,-0.00037741318283224246,50.530774652957916,0.02566964365541935,0.02897298044990748,11.680488387743631,0.24656322598457336,0.09198793768882751,0.3385511636734009,True,,,0.02566964365541935,0.12667746325737703,0.06714127212762833,outputs/pretty_matrix/cat_crown/fixed_full_support_v3/seed_10/masks/combined.png,1.0,123.3782958984375,0.0843069776892662,17.941661834716797,fixed_full_support_v3,,0.027386412024497986,13.376965045928955,outputs/pretty_matrix/cat_crown/fixed_full_support_v3/seed_10/result.png,cat_crown/fixed_full_support_v3/seed_10,46.424099384923466,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.057780053466558456,A photo of a cat sitting in grass.,0.10663384618627753,0.8714118792130315,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9308271879951159,1.0000000223517418,0.9308271830280622,-0.39694843503336114,-0.002257509016393063,61.06100811560949,0.04906249791383743,0.01516760976422423,12.259290019671122,0.2600015699863434,0.10063299536705017,0.36063456535339355,True,,,0.04906249791383743,0.09834082920745305,0.05828035622835159,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3_v0/seed_10/masks/combined.png,1.0,172.43325805664062,0.042883098125457764,21.141965866088867,adaptive_full_support_v3_v0,,0.040338434278964996,14.104652404785156,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3_v0/seed_10/result.png,dog_sunglasses/adaptive_full_support_v3_v0/seed_10,55.0300826439634,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05424639955163002,A front-facing portrait of a dog in snow.,0.10223262045915904,0.903410200154511,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9256095290184021,1.0000000149011612,0.9256095265348753,-0.4073094210277001,-0.0017649221860362256,52.270146568616234,0.04906249791383743,0.015246773075584011,12.25309936205546,0.273931622505188,0.09462326765060425,0.36855489015579224,True,,,0.04906249791383743,0.0988510525719037,0.05893236771225929,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3_v1/seed_10/masks/combined.png,1.0,172.43325805664062,0.042883098125457764,21.141965866088867,adaptive_full_support_v3_v1,,0.04079092666506767,14.104652404785156,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3_v1/seed_10/result.png,dog_sunglasses/adaptive_full_support_v3_v1/seed_10,56.50490988290403,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05485354736447334,A front-facing portrait of a dog in snow.,0.10385483817907248,0.9007171351300138,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9305738930900892,1.0000000273187954,0.930573915441831,-0.3887727788339059,-0.0036013970675412565,60.16921091079712,0.04906249791383743,0.015534989467899626,10.537561098734537,0.26216062903404236,0.09832444787025452,0.3604850769042969,True,,,0.04906249791383743,0.0970243269460927,0.05825291574001312,outputs/pretty_matrix/dog_sunglasses/fixed_full_support_v3/seed_10/masks/combined.png,1.0,172.43325805664062,0.042883098125457764,17.974136352539062,fixed_full_support_v3,,0.04053988680243492,14.10192060470581,outputs/pretty_matrix/dog_sunglasses/fixed_full_support_v3/seed_10/result.png,dog_sunglasses/fixed_full_support_v3/seed_10,56.22531503601931,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.0542704202234745,A front-facing portrait of a dog in snow.,0.1020198391817957,0.9038029542465928,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9291035309433937,1.0000000248352687,0.9291035483280817,-0.42057238270839054,0.0003085567846028425,39.67629996935526,0.0368303582072258,0.007484494970412925,18.402407844861347,0.32073312997817993,0.04377734661102295,0.3645104765892029,True,,,0.0368303582072258,0.004722187184661958,0.007086697034537792,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3_v0/seed_10/masks/combined.png,1.0,166.03610229492188,0.015341784805059433,26.527204513549805,adaptive_full_support_v3_v0,,0.019886614754796028,13.379250049591064,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3_v0/seed_10/result.png,mug_heart/adaptive_full_support_v3_v0/seed_10,51.737691979971714,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.010448580607771873,A minimalist photo of a plain white ceramic mug on a grey background.,0.0418928935213251,0.8685059054134786,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
1.0,0.9268993760148684,0.9999999900658926,0.9268993635972341,-0.42258021607995033,0.0004420320049878986,34.0271123846372,0.0368303582072258,0.00758322978799697,18.61069444815318,0.31816598773002625,0.043801575899124146,0.3619675636291504,True,,,0.0368303582072258,0.004525100908173562,0.0071096052415668964,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3_v1/seed_10/masks/combined.png,1.0,144.0918426513672,0.015341784805059433,26.705265045166016,adaptive_full_support_v3_v1,,0.02253759279847145,13.379240036010742,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3_v1/seed_10/result.png,mug_heart/adaptive_full_support_v3_v1/seed_10,55.2668569519883,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.011161747388541698,A minimalist photo of a plain white ceramic mug on a grey background.,0.0446584482726395,0.8499089092631232,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
1.0,0.9296035592754682,1.0000000447034836,0.9296035692095757,-0.42254385973016423,-0.00012929646860963354,39.39957227309545,0.0368303582072258,0.007577895196542765,15.06097928682963,0.3207850456237793,0.04222044348716736,0.36300548911094666,True,,,0.0368303582072258,0.0046039354187689206,0.007117983885109425,outputs/pretty_matrix/mug_heart/fixed_full_support_v3/seed_10/masks/combined.png,1.0,166.6073760986328,0.015341784805059433,26.611757278442383,fixed_full_support_v3,,0.020637620240449905,13.376965045928955,outputs/pretty_matrix/mug_heart/fixed_full_support_v3/seed_10/result.png,mug_heart/fixed_full_support_v3/seed_10,51.91234807006549,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.01066889800131321,A minimalist photo of a plain white ceramic mug on a grey background.,0.042419043889073776,0.8645987639051997,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
