task,method,paper_name,seed,edit_success_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,failure_flag,result_image,review_grid,notes
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,10,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,11,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
backpack_remove_toy_charm,support_v3_controller_rmsgap,DeCE-RF,12,,,,,,,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
cat_crown,support_v3_controller_rmsgap,DeCE-RF,10,,,,,,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
cat_crown,support_v3_controller_rmsgap,DeCE-RF,11,,,,,,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
cat_crown,support_v3_controller_rmsgap,DeCE-RF,12,,,,,,,outputs/pretty_matrix/cat_crown/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
dog_sunglasses,support_v3_controller_rmsgap,DeCE-RF,10,,,,,,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
dog_sunglasses,support_v3_controller_rmsgap,DeCE-RF,11,,,,,,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
dog_sunglasses,support_v3_controller_rmsgap,DeCE-RF,12,,,,,,,outputs/pretty_matrix/dog_sunglasses/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
mug_heart,support_v3_controller_rmsgap,DeCE-RF,10,,,,,,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
mug_heart,support_v3_controller_rmsgap,DeCE-RF,11,,,,,,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
mug_heart,support_v3_controller_rmsgap,DeCE-RF,12,,,,,,,outputs/pretty_matrix/mug_heart/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
red_chair_blue,support_v3_controller_rmsgap,DeCE-RF,10,,,,,,,outputs/pretty_matrix/red_chair_blue/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
red_chair_blue,support_v3_controller_rmsgap,DeCE-RF,11,,,,,,,outputs/pretty_matrix/red_chair_blue/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
red_chair_blue,support_v3_controller_rmsgap,DeCE-RF,12,,,,,,,outputs/pretty_matrix/red_chair_blue/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,10,,,,,,,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed10_grid.png,Internal visual audit only; not a user study.
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,11,,,,,,,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed11_grid.png,Internal visual audit only; not a user study.
tshirt_star,support_v3_controller_rmsgap,DeCE-RF,12,,,,,,,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/result.png,experiments/support_v3_2026-05-11/paper_grids/core4_main_seed12_grid.png,Internal visual audit only; not a user study.
