avg_beta_t,avg_cos_anchor_region,avg_cos_base_anchor,avg_cos_base_region,avg_cos_rec_base,avg_cos_rec_edit_total,avg_edit_norm,avg_mask_area,avg_rec_energy,avg_rec_norm,clip_source_score,clip_target_minus_source,clip_target_score,complete,failure_flag,failure_note,final_mask_area,inside_blue_ratio,inside_mask_l1,mask_path,max_beta_t,max_edit_norm,max_rec_energy,max_rec_norm,method,missing,outside_mask_l1,peak_gpu_memory_gb,result_image,run,runtime_seconds,seed,source_image,source_l1,source_prompt,source_rmse,source_ssim_luma,target_prompt,task
1.0,0.940072258313497,1.0,0.9400723079840342,-0.34197292538980645,-0.000667256728168771,20.935798446337383,0.0335286483168602,0.02316537851584144,15.735999862353006,0.3830944895744324,-0.008008331060409546,0.3750861585140228,True,,,0.0335286483168602,0.01698044399872362,0.04916132614016533,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,68.00202178955078,0.06235100328922272,27.81687355041504,adaptive_full_support_v3,,0.03032349795103073,13.908949851989746,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_support_v3/seed_10/result.png,backpack_remove_toy_charm/adaptive_full_support_v3/seed_10,52.77244467602577,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_backpack_keychain_njwnKDUDKNM.jpg,0.03873100131750107,A close-up photo of a grey backpack with a yellow dangling toy charm attached to a pink keychain strap.,0.074048983763036,0.9305958614228982,"A close-up photo of the same grey backpack with the yellow dangling toy charm removed, pink strap, zipper, and fabric preserved.",backpack_remove_toy_charm
1.0,0.9212124695380529,1.0000000173846881,0.921212467054526,-0.4410318111379941,-0.0004588922298959612,48.30684540669123,0.02566964365541935,0.027670705181662925,15.662999431292215,0.24900762736797333,0.09368230402469635,0.3426899313926697,True,,,0.02566964365541935,0.12917892687970925,0.07085473835468292,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,94.17127990722656,0.0843069776892662,29.603742599487305,adaptive_full_support_v3,,0.02833838202059269,13.378939628601074,outputs/pretty_matrix/cat_crown/adaptive_full_support_v3/seed_10/result.png,cat_crown/adaptive_full_support_v3/seed_10,66.31928115501069,10,/home/Wu_25R8111/rf_h_edit_project/data/paper_images/cat_sitting_in_grass.jpg,0.06084326282143593,A photo of a cat sitting in grass.,0.11255206353756532,0.8611373396047208,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",cat_crown
1.0,0.9254803135991096,0.9999999925494194,0.9254803334673246,-0.41613215021789074,-0.0030677372061518327,52.58666451772054,0.04906249791383743,0.015054031090888506,12.09891390800476,0.2664097845554352,0.09828841686248779,0.364698201417923,True,,,0.04906249791383743,0.10041951698854833,0.05924121290445328,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,172.43325805664062,0.042883098125457764,21.141965866088867,adaptive_full_support_v3,,0.04075026884675026,14.104270935058594,outputs/pretty_matrix/dog_sunglasses/adaptive_full_support_v3/seed_10/result.png,dog_sunglasses/adaptive_full_support_v3/seed_10,63.194520620047115,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/unsplash_dog_front_malinois_PGlA5efHOiI.jpg,0.05508381500840187,A front-facing portrait of a dog in snow.,0.10427689878915758,0.899999243908445,A front-facing portrait of the same dog wearing black sunglasses in snow.,dog_sunglasses
1.0,0.9277029683192571,1.0000000248352687,0.9277030006051064,-0.4260672628879547,-0.0004759104873907442,33.858247478803,0.0368303582072258,0.007546184283758824,18.510629375775654,0.3167421817779541,0.0435241162776947,0.3602662980556488,True,,,0.0368303582072258,0.004572401614530777,0.007118797395378351,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3/seed_10/masks/combined.png,1.0,143.25302124023438,0.015341784805059433,26.588905334472656,adaptive_full_support_v3,,0.022282829508185387,13.37891960144043,outputs/pretty_matrix/mug_heart/adaptive_full_support_v3/seed_10/result.png,mug_heart/adaptive_full_support_v3/seed_10,51.09584485006053,10,/home/Wu_25R8111/rf_h_edit_project/data/pretty_free_candidates/pexels_white_mug_6312107.jpg,0.011101615615189075,A minimalist photo of a plain white ceramic mug on a grey background.,0.04472104823589966,0.8492863045595139,"A minimalist photo of the same white ceramic mug with a small red heart printed on the front, on the same grey background.",mug_heart
