task,file,page,direct_download,author,source,license_note,note
web_dog_bowtie,pexels_dog_sitting_1635189.jpg,https://www.pexels.com/photo/dog-sitting-1635189/,https://images.pexels.com/photos/1635189/pexels-photo-1635189.jpeg?auto=compress&cs=tinysrgb&w=1400,Min An,Pexels,Pexels free-to-use stock photo page; retain page URL for attribution/provenance.,"dog sitting, visible chest/neck; target add blue bow tie"
web_tshirt_smiley,pexels_plain_white_tshirt_6786616.jpg,https://www.pexels.com/photo/a-person-wearing-white-shirt-6786616/,https://images.pexels.com/photos/6786616/pexels-photo-6786616.jpeg?auto=compress&cs=tinysrgb&w=1400,Artem Podrez,Pexels,Pexels free-to-use stock photo page; retain page URL for attribution/provenance.,plain white t-shirt; target add yellow smiley patch/decal
web_laptop_star_sticker,pexels_closed_laptop_23119862.jpg,https://www.pexels.com/photo/a-laptop-lying-on-a-desk-23119862/,https://images.pexels.com/photos/23119862/pexels-photo-23119862.jpeg?auto=compress&cs=tinysrgb&w=1400,prasun_16 .,Pexels,Pexels free-to-use stock photo page; retain page URL for attribution/provenance.,closed laptop lid on desk; target add red star sticker
web_notebook_heart_sticker,pexels_blank_notebook_5705957.jpg,https://www.pexels.com/photo/open-blank-notebook-5705957/,https://images.pexels.com/photos/5705957/pexels-photo-5705957.jpeg?auto=compress&cs=tinysrgb&w=1400,Pexels contributor,Pexels,Pexels free-to-use stock photo page; retain page URL for attribution/provenance.,open blank notebook page; target add blue heart sticker
