task,method,iou,coverage,leakage,pred_area,manual_area,support_score,support_edit_operation,support_new_tokens,support_host_tokens,support_removed_tokens,support_area_core,mask_area_ratio
cat_crown,generic_v1,0.0,0.0,1.0,0.050967261904761904,0.025669642857142856,attention_x_clean,,,,,0.0505952388048172,0.0509672611951828
cat_crown,support_v2,0.0,0.0,1.0,0.050967261904761904,0.025669642857142856,new_plus_host_x_clean,add_object,crown,"cat,head",,0.0505952388048172,0.0509672611951828
dog_sunglasses,generic_v1,0.38922155688622756,0.8552631578947368,0.5833333333333334,0.04875,0.02375,attention_x_clean,,,,,0.051874998956918716,0.04874999821186066
dog_sunglasses,support_v2,0.38922155688622756,0.8552631578947368,0.5833333333333334,0.04875,0.02375,attention_x_clean,add_object,sunglasses,"dog,eyes",,0.051874998956918716,0.04874999821186066
mug_heart,generic_v1,0.0,0.0,1.0,0.05766369047619048,0.010044642857142858,attention_x_clean,,,,,0.0595238097012043,0.0576636902987957
mug_heart,support_v2,0.0,0.0,1.0,0.05171130952380952,0.010044642857142858,new_x_host_x_clean,add_decal,heart,mug,,0.0535714291036129,0.0517113097012043
backpack_remove_toy_charm,generic_v1,0.3994910941475827,0.4077922077922078,0.048484848484848485,0.0537109375,0.12532552083333334,attention_x_clean,,,,,0.0579427108168602,0.0537109375
backpack_remove_toy_charm,support_v2,0.3816793893129771,0.38961038961038963,0.05063291139240506,0.051432291666666664,0.12532552083333334,removed_src_x_clean,remove_object,,backpack,"toy,charm",0.0553385429084301,0.0514322929084301
