method,display_name,n,outside_mask_l1_mean,inside_mask_l1_mean,source_ssim_luma_mean,local_edit_l1_mean,edit_score_mean,claim_boundary
support_v3_fixed,Fixed DeCE displacement,9,0.0333,0.0720,0.9181,0.0720,0.0720,component ablation; not an external baseline
support_v3_controller_rmsgap,DeCE-RF,9,0.0329,0.0672,0.9205,0.0672,0.0672,component ablation; not an external baseline
