base_method,clip_target_minus_source_max,clip_target_minus_source_mean,clip_target_minus_source_min,edit_scale,inside_mask_l1_max,inside_mask_l1_mean,inside_mask_l1_min,local_clip_target_minus_source_max,local_clip_target_minus_source_mean,local_clip_target_minus_source_min,n,outside_mask_l1_max,outside_mask_l1_mean,outside_mask_l1_min,source_ssim_luma_max,source_ssim_luma_mean,source_ssim_luma_min,ssim_loss_max,ssim_loss_mean,ssim_loss_min,task
support_v3_controller_rmsgap,0.10094505548477173,0.10094505548477173,0.10094505548477173,0.5,0.10972723364830017,0.10972723364830017,0.10972723364830017,0.10402338206768036,0.10402338206768036,0.10402338206768036,1,0.054006557911634445,0.054006557911634445,0.054006557911634445,0.8772696004126964,0.8772696004126964,0.8772696004126964,0.12273039958730358,0.12273039958730358,0.12273039958730358,cat_crown
support_v3_controller_rmsgap,0.09125779569149017,0.09125779569149017,0.09125779569149017,0.75,0.12647253274917603,0.12647253274917603,0.12647253274917603,0.1195252537727356,0.1195252537727356,0.1195252537727356,1,0.05402559041976929,0.05402559041976929,0.05402559041976929,0.8755243082594315,0.8755243082594315,0.8755243082594315,0.1244756917405685,0.1244756917405685,0.1244756917405685,cat_crown
support_v3_controller_rmsgap,0.10331793129444122,0.10331793129444122,0.10331793129444122,1.0,0.13759872317314148,0.13759872317314148,0.13759872317314148,0.1077471375465393,0.1077471375465393,0.1077471375465393,1,0.05403779447078705,0.05403779447078705,0.05403779447078705,0.873680049205787,0.873680049205787,0.873680049205787,0.126319950794213,0.126319950794213,0.126319950794213,cat_crown
support_v3_controller_rmsgap,0.09519118070602417,0.09519118070602417,0.09519118070602417,1.25,0.16072097420692444,0.16072097420692444,0.16072097420692444,0.10947522521018982,0.10947522521018982,0.10947522521018982,1,0.054059598594903946,0.054059598594903946,0.054059598594903946,0.8697337463290797,0.8697337463290797,0.8697337463290797,0.13026625367092026,0.13026625367092026,0.13026625367092026,cat_crown
support_v3_controller_rmsgap,0.0901220440864563,0.0901220440864563,0.0901220440864563,1.5,0.19304914772510529,0.19304914772510529,0.19304914772510529,0.10841198265552521,0.10841198265552521,0.10841198265552521,1,0.054714497178792953,0.054714497178792953,0.054714497178792953,0.8630789235722177,0.8630789235722177,0.8630789235722177,0.13692107642778228,0.13692107642778228,0.13692107642778228,cat_crown
support_v3_fixed,0.09396199882030487,0.09396199882030487,0.09396199882030487,0.5,0.11503612995147705,0.11503612995147705,0.11503612995147705,0.1116275042295456,0.1116275042295456,0.1116275042295456,1,0.05382275581359863,0.05382275581359863,0.05382275581359863,0.8778244637106014,0.8778244637106014,0.8778244637106014,0.12217553628939859,0.12217553628939859,0.12217553628939859,cat_crown
support_v3_fixed,0.09202349185943604,0.09202349185943604,0.09202349185943604,0.75,0.1301681250333786,0.1301681250333786,0.1301681250333786,0.11229240894317627,0.11229240894317627,0.11229240894317627,1,0.05367448925971985,0.05367448925971985,0.05367448925971985,0.8760083597546994,0.8760083597546994,0.8760083597546994,0.12399164024530063,0.12399164024530063,0.12399164024530063,cat_crown
support_v3_fixed,0.09226568043231964,0.09226568043231964,0.09226568043231964,1.0,0.16457082331180573,0.16457082331180573,0.16457082331180573,0.10912898182868958,0.10912898182868958,0.10912898182868958,1,0.05374688655138016,0.05374688655138016,0.05374688655138016,0.8717591266321546,0.8717591266321546,0.8717591266321546,0.1282408733678454,0.1282408733678454,0.1282408733678454,cat_crown
support_v3_fixed,0.09170293807983398,0.09170293807983398,0.09170293807983398,1.25,0.2058737576007843,0.2058737576007843,0.2058737576007843,0.10167732834815979,0.10167732834815979,0.10167732834815979,1,0.0552360974252224,0.0552360974252224,0.0552360974252224,0.8612208266808193,0.8612208266808193,0.8612208266808193,0.13877917331918066,0.13877917331918066,0.13877917331918066,cat_crown
support_v3_fixed,0.06301477551460266,0.06301477551460266,0.06301477551460266,1.5,0.2465163916349411,0.2465163916349411,0.2465163916349411,0.05677714943885803,0.05677714943885803,0.05677714943885803,1,0.055334579199552536,0.055334579199552536,0.055334579199552536,0.8566949865956652,0.8566949865956652,0.8566949865956652,0.14330501340433477,0.14330501340433477,0.14330501340433477,cat_crown
