task,method,seed,step,t,edit_rms_gap,directional_progress,preserve_drift,adaptive_edit_weight,adaptive_preserve_weight,projection_ratio,edit_deficit,edit_change_rms,edit_guidance_norm,rec_guidance_norm,preserve_clean_correction_norm
cat_crown,support_v3_controller_rmsgap,10,4.0,0.9453875422477722,3.1644232273101807,0.06463854759931564,0.5290415287017822,1.0,1.65,0.003837791969999671,0.0,0.47630053758621216,94.17127990722656,48.03907012939453,19.6417179107666
cat_crown,support_v3_controller_rmsgap,10,5.0,0.9298179745674133,2.7872941493988037,0.08711408078670502,0.5119442343711853,1.0,1.65,0.0036385662388056517,0.0,0.48763608932495117,82.49671936035156,45.72294616699219,18.378896713256836
cat_crown,support_v3_controller_rmsgap,10,6.0,0.9133490324020386,2.2056431770324707,0.1009126827120781,0.48593801259994507,1.0,1.65,0.002999121556058526,0.0,0.5029240846633911,65.91529083251953,41.60908889770508,16.36682891845703
cat_crown,support_v3_controller_rmsgap,10,7.0,0.8959003686904907,2.6029868125915527,0.0571143738925457,0.45959708094596863,1.0,1.65,0.0016724891029298306,0.0,0.47023099660873413,82.3962631225586,37.57352828979492,14.421432495117188
cat_crown,support_v3_controller_rmsgap,10,8.0,0.8773819208145142,2.7414026260375977,0.06583787500858307,0.43185684084892273,1.0,1.6296421021223069,0.0037117768079042435,0.0,0.47336316108703613,88.90838623046875,33.46288299560547,12.462081909179688
cat_crown,support_v3_controller_rmsgap,10,9.0,0.8576923608779907,3.1014270782470703,0.02071540430188179,0.40640345215797424,1.0,1.5660086303949357,0.0030237454921007156,0.0,0.4959232211112976,108.13229370117188,29.495412826538086,10.781525611877441
cat_crown,support_v3_controller_rmsgap,10,10.0,0.8367167115211487,2.206944227218628,0.08357742428779602,0.3875468075275421,1.0,1.5188670188188553,0.0056397332809865475,0.0,0.5225130319595337,76.35621643066406,27.024219512939453,9.661752700805664
cat_crown,support_v3_controller_rmsgap,10,11.0,0.8143247961997986,1.6667078733444214,0.12956763803958893,0.3700326979160309,1.0,1.4750817447900773,0.005087861325591803,0.0,0.6026360392570496,56.333457946777344,24.85284996032715,8.67689037322998
cat_crown,support_v3_controller_rmsgap,10,12.0,0.7903683185577393,1.6226136684417725,0.13633956015110016,0.3552458882331848,1.0,1.438114720582962,0.005084547679871321,0.0,0.6321712136268616,57.04309844970703,23.248958587646484,7.913279056549072
cat_crown,support_v3_controller_rmsgap,10,13.0,0.7646771669387817,1.8041397333145142,0.12432984262704849,0.3395622968673706,1.0,1.3989057421684266,0.004661806859076023,0.0,0.6388031244277954,66.83412170410156,21.598712921142578,7.117330551147461
cat_crown,support_v3_controller_rmsgap,10,14.0,0.7370558977127075,1.642731785774231,0.1406235545873642,0.322659969329834,1.0,1.356649923324585,0.005210128612816334,0.0,0.6586001515388489,62.24393081665039,19.991764068603516,6.271904945373535
cat_crown,support_v3_controller_rmsgap,10,15.0,0.7072785496711731,1.474030613899231,0.1823783665895462,0.3057875633239746,1.0,1.3144689083099366,0.006959824822843075,0.0,0.6572111248970032,61.782752990722656,18.45612144470215,5.460975170135498
cat_crown,support_v3_controller_rmsgap,10,16.0,0.6750823855400085,1.0906686782836914,0.27977490425109863,0.28721392154693604,1.0,1.2680348038673401,0.007243458181619644,0.0,0.6740278601646423,46.837955474853516,16.78447723388672,4.579467296600342
cat_crown,support_v3_controller_rmsgap,10,17.0,0.6401602625846863,0.8200130462646484,0.40412038564682007,0.2692449390888214,1.0,1.2231123477220536,0.007756768725812435,0.0,0.6763644218444824,37.68653869628906,15.332395553588867,3.7674710750579834
cat_crown,support_v3_controller_rmsgap,10,18.0,0.6021506190299988,0.7269785404205322,0.4680365025997162,0.2509922981262207,1.0,1.1774807453155518,0.0041144597344100475,0.0,0.6835790276527405,36.00913619995117,13.95155143737793,2.968853712081909
cat_crown,support_v3_controller_rmsgap,10,19.0,0.5606250166893005,0.6419153213500977,0.533604621887207,0.23179130256175995,1.0,1.1294782564044,0.002896867925301194,0.0,0.6865856647491455,34.59502410888672,12.562543869018555,2.147383689880371
cat_crown,support_v3_controller_rmsgap,10,20.0,0.5150721073150635,0.6083990335464478,0.561714231967926,0.21224269270896912,1.0,1.0806067317724228,0.00816256646066904,0.0,0.6943404078483582,36.0722770690918,11.211915969848633,1.3315478563308716
