method,display_name,n,adaptive_preserve_drift_mean,adaptive_preserve_weight_mean,adaptive_edit_weight_mean,adaptive_projection_norm_mean,adaptive_preserve_clean_correction_norm_mean
support_v3_fixed,Fixed DeCE displacement,36,0.0000,1.0000,1.0000,0.0000,0.0000
support_v3_controller_rmsgap,DeCE-RF,36,0.2134,1.2338,1.1600,0.0454,2.8844
