method,display_name,n,outside_mask_l1_mean,inside_mask_l1_mean,source_ssim_luma_mean,local_edit_l1_mean,edit_score_mean,claim_boundary
support_v3_fixed,Fixed DeCE displacement,36,0.0350,0.1729,0.9147,0.1729,0.1729,component ablation; not an external baseline
support_v3_controller_rmsgap,DeCE-RF,36,0.0343,0.1772,0.9144,0.1772,0.1772,component ablation; not an external baseline
