task,seed,variant,display_name,role,mask_path,threshold_policy,complete,missing,support_iou,support_precision,support_recall,support_area_ratio,eval_area_ratio,downstream_method,outside_mask_l1,inside_mask_l1,source_ssim_luma,edit_score
tshirt_star,10,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.1118,0.1122,0.9686,0.3353,0.0389,,,,,
tshirt_star,10,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/tshirt_star/adaptive_full_generic_support/seed_10/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0377,0.0389,adaptive_full_generic_support,0.02861091122031212,0.01041508000344038,0.8646290131875007,-0.00875827670097351
tshirt_star,10,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_10/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.3883,0.4403,0.7668,0.0677,0.0389,support_v3_controller_rmsgap,0.01761714741587639,0.08201836794614792,0.8780248400556037,0.07979436218738556
tshirt_star,11,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0468,0.0389,,,,,
tshirt_star,11,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0466,0.0389,,,,,
tshirt_star,11,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0466,0.0389,,,,,
tshirt_star,11,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.1118,0.1122,0.9686,0.3353,0.0389,,,,,
tshirt_star,11,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/tshirt_star/adaptive_full_generic_support/seed_11/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0377,0.0389,adaptive_full_generic_support,0.02865559048950672,0.010428092442452908,0.8648298191698854,-0.009301185607910156
tshirt_star,11,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_11/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.3883,0.4403,0.7668,0.0677,0.0389,support_v3_controller_rmsgap,0.017628967761993408,0.08263369649648666,0.8779931677671408,0.07978008687496185
tshirt_star,12,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0468,0.0389,,,,,
tshirt_star,12,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0466,0.0389,,,,,
tshirt_star,12,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0000,0.0000,0.0000,0.0466,0.0389,,,,,
tshirt_star,12,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.1118,0.1122,0.9686,0.3353,0.0389,,,,,
tshirt_star,12,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/tshirt_star/adaptive_full_generic_support/seed_12/masks/core_final.png,binary_midpoint,1,0,0.0000,0.0000,0.0000,0.0377,0.0389,adaptive_full_generic_support,0.028623338788747787,0.010422700084745884,0.8649048294039616,-0.009566068649291992
tshirt_star,12,operation_conditioned_support,Operation support,operation-conditioned geometry estimator,outputs/pretty_matrix/tshirt_star/support_v3_controller_rmsgap/seed_12/masks/operation_v3_edit_mask.png,binary_midpoint,1,0,0.3883,0.4403,0.7668,0.0677,0.0389,support_v3_controller_rmsgap,0.017625536769628525,0.08252936601638794,0.8780141506663812,0.07994265854358673
backpack_remove_toy_charm,10,attention_only,Attention only,semantic localization only,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_attention_only.png,top_5_percent_nonzero,1,0,0.0450,0.1927,0.0555,0.0469,0.1630,,,,,
backpack_remove_toy_charm,10,clean_disagreement,Clean disagreement,source-target clean-estimate gap,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/masks/operation_v3_candidate_clean_disagreement_only.png,top_5_percent_nonzero,1,0,0.0827,0.3432,0.0982,0.0466,0.1630,,,,,
backpack_remove_toy_charm,10,velocity_disagreement,Velocity disagreement,RF response without relation prior,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/masks/generic_velocity_disagreement_map.png,top_5_percent_nonzero,1,0,0.0820,0.3428,0.0973,0.0463,0.1630,,,,,
backpack_remove_toy_charm,10,grounding_sam,Grounding/SAM,external segmentation only,outputs/pretty_matrix/backpack_remove_toy_charm/support_v3_controller_rmsgap/seed_10/masks/operation_v3_grounding_mask.png,binary_midpoint,1,0,0.5015,0.7711,0.5892,0.1245,0.1630,,,,,
backpack_remove_toy_charm,10,generic_support,Generic support,weak automatic support,outputs/pretty_matrix/backpack_remove_toy_charm/adaptive_full_generic_support/seed_10/masks/core_final.png,binary_midpoint,1,0,0.1813,0.6873,0.1976,0.0469,0.1630,adaptive_full_generic_support,0.0280156172811985,0.08004611730575562,0.795639095783044,-0.007809817790985107
