task,group,label,seed,mask_area_ratio,R_boundary,R_agreement,R_host,R,boundary_color_delta,boundary_grad_delta,boundary_inner_texture_std,boundary_inner_grad_mean,boundary_color_score,boundary_grad_score,boundary_inner_texture_score,boundary_inner_grad_score,agreement_lab_delta,agreement_grad_delta,agreement_color_score,agreement_grad_score,host_texture_std,host_edge_mean,host_edge_density,host_texture_score,host_edge_score,host_edge_density_score
laptop_remove_sticker,surface,laptop,11,0.0666775173611111,0.9293438673455053,0.8788236466865589,0.9194129309777537,0.7509115406936108,1.4157071113586426,0.005861099809408188,0.009398036636412144,0.009357054717838764,0.956723505516164,0.9640309550795196,0.8743647413050418,0.9249871291656889,2.0617616176605225,0.00865285936743021,0.8421362437599984,0.9171093248844534,0.01274015475064516,0.01635030098259449,0.00043402777777777775,0.8527814869256427,0.9131683662658446,0.9980290912610394
fridge_remove_yellow_magnet,surface,fridge yellow,11,0.011160714285714286,0.7689253794065891,0.8672082882566273,0.31939140577694386,0.21297608599928072,3.184840202331543,0.0998503603041172,0.00793889444321394,0.025684993714094162,0.9052661805953498,0.5357622649192632,0.8927820634664958,0.8073147884966574,1.886031985282898,0.012778284959495068,0.8545593422315505,0.8800444604082451,0.07368005067110062,0.24340015649795532,0.253173828125,0.3981204690714378,0.2586645859116674,0.31638668466456976
fridge_remove_peach_magnet,surface,fridge peach,11,0.007975260416666666,0.6734101684406567,0.7897592168856885,0.42465461093958806,0.2258448631741434,2.2923545837402344,0.11714763939380646,0.02136622928082943,0.05670744180679321,0.9308695955504058,0.48086306083867725,0.7369524944549689,0.6234030525431072,2.8627476692199707,0.023349203169345856,0.7877596047606298,0.7917639047326127,0.04084620997309685,0.19732466340065002,0.21177455357142858,0.6001488179139598,0.33412231849706897,0.3818942248020899
whiteboard_remove_yellow_letter,surface,whiteboard,11,0.038806733630952384,0.6173417979556669,0.7450922003754457,0.4477949677785645,0.20597518824726707,3.4138729572296143,0.06770135834813118,0.06737413257360458,0.052443016320466995,0.8988100744877359,0.6549911927137607,0.38194158222048025,0.6459551944742773,3.9408669471740723,0.026008903980255127,0.7200709148814982,0.7709829345790006,0.10518427193164825,0.10586011409759521,0.11161574456372145,0.26852711070942986,0.555374984860158,0.6020924382978324
backpack_remove_toy_charm,hard,backpack,11,0.1489715576171875,0.5928487852534154,0.6943001815417329,0.39586987195601037,0.16294598495705498,1.885165810585022,0.10532383620738983,0.05494161695241928,0.07070375978946686,0.9427902669030073,0.5177442024803698,0.4561743289589121,0.5547720345106112,5.6087646484375,0.026230469346046448,0.6266312345499851,0.7692765944472417,0.054922811686992645,0.17790250480175018,0.24312789351851852,0.5033169711154022,0.372191322583968,0.3311688911000509
dog_remove_tennis_ball,hard,dog,11,0.025502522786458332,0.4935155900437348,0.6302980557449323,0.29674188945136293,0.09230510095263346,7.122452259063721,0.11780020594596863,0.06930744647979736,0.10510428249835968,0.8004536631575788,0.47890583517884017,0.37153716543408843,0.41649991526540586,6.382801055908203,0.039122484624385834,0.587487630300963,0.6762280915979832,0.075471892952919,0.20964109897613525,0.3380533854166667,0.38930247691131503,0.3120247485354031,0.21510988307396803
